"index","word","meaning","meaning2","note","category"
"16","저 학생 아니에요.","I'm not a student.","","""<span style="""" font-style: normal; font-weight: normal;"""">저 - I,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">학생 - student,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">아니에요 - am not</span>""","dif1 polite"
"17","그거 고양이 아니에요.","It's not a cat.","That's not a cat.","""<span style="""" font-style: normal; font-weight: normal;"""">고양이 - cat,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">그거 - something that is close to the listener, not to the speaker, or something that can't be seen at all.</span>""","dif1 polite"
"18","목소리&nbsp;좋아요.","Your voice is good.","I like her voice.","""<span style="""" font-style: normal; font-weight: normal;"""">목소리 - voice,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">좋다 - to be good, to like. The person whose voice is being discussed isn't mentioned because it's usually clear from the context.</span>""","dif1 polite"
"19","물 있어요.","I have water.","There is water.","""<span style="""" font-style: normal; font-weight: normal;"""">물 - water, 있다 - to exist, to have</span>""","dif1 polite"
"20","시간 있어요?","Do you have time?","Do we have time?","""<span style="""" font-style: normal; font-weight: normal;"""">시간 - time, 있다 - to have</span>""","dif1 polite"
"21","파티&nbsp;없어요.","There is no party.","","""<span style="""" font-style: normal; font-weight: normal;"""">파티 - party, 없다 - to not exist</span>""","dif1 polite"
"22","네.&nbsp;재미없어요.","No, it's not fun.","No, it's not interesting.","This use of 네 means that the previous speaker also said something similar and the current speaker is agreeing.","dif1 polite"
"23","사과 없어요.","I don't have an apple.","There are no apples.","""<span style="""" font-style: normal; font-weight: normal;"""">사과 - apple, 없다 - to not have, not exist</span>""","dif1 polite"
"24","맥주&nbsp;주세요.","Please give me some beer.","I'd like a beer, please.","""<span style="""" font-style: normal; font-weight: normal;"""">맥주 - beer, 주다 - to give. The 'please' aspect is included in the honorific ending -</span><span style="""" font-style: normal; font-weight: normal;"""">세요.</span>""","dif1 honorific"
"25","아이스크림&nbsp;주세요.","Please give me an ice cream.","I'd like an ice cream, please.","""<span style="""" font-style: normal; font-weight: normal;"""">아이스크림 - ice cream, 주다 - to give</span>""","dif1 honorific"
"26","김치 주세요.","Please give me some kimchi.","","""<span style="""" font-style: normal; font-weight: normal;"""">김치 - traditional Korean food</span>""","dif1 honorific"
"27","저는 미국 사람이에요.","I'm American.","","""<span style="""" font-style: normal; font-weight: normal;"""">저 - I,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">는 - topic marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">미국 - America,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">사람 - person, </span><span style="""" font-style: normal; font-weight: normal;"""">이에요 - am</span>""","dif1 polite"
"28","의사예요?","Are you a [medical] doctor?","","""<span style="""" font-style: normal; font-weight: normal;"""">의사 - doctor,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">예요 - are</span>""","dif1 polite"
"29","한국 사람이에요?","Are you Korean?","","""<span style="""" font-style: normal; font-weight: normal;"""">한국 - Korea,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">사람 - person</span>""","dif1 polite"
"30","김정민 씨는 학생이에요.","Jeongmin Kim is a student.","","""<span style="""" font-style: normal; font-weight: normal;"""">김정민 - Jeongmin Kim,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">씨 - polite term of address,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">는 - topic marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">학생 - student</span>""","dif1 polite"
"31","만나서 반가워요.","Nice to meet you.","Literally: I'm meeting you therefore I am glad.","만나다 - to meet, 반갑다 - to be glad, 서 - therefore","dif1 irregular polite"
"32","제 전공은 경제학이에요.","My major is economics.","","""<span style="""" font-style: normal; font-weight: normal;"""">제 - my,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">전공 - major,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">은 - topic marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">경제학 - economics</span>""","dif1 polite"
"33","크리스 씨는 영어 선생님이에요.","Chris is an English teacher.","","""<span style="""" font-style: normal; font-weight: normal;"""">크리스 - Chris,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;""""><span style=""""font-style: normal; font-weight: normal; """">씨 - polite term of address,&nbsp;</span><span style=""""font-style: normal; font-weight: normal; """">는 - topic marking particle,&nbsp;</span></span><span style="""" font-style: normal; font-weight: normal;"""">영어 - English,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">선생님 - teacher</span>""","dif1 polite"
"34","맛있어요.","It's delicious.","It tastes good.","""<span style="""" font-style: normal; font-weight: normal;"""">맛 - taste, 있다 - to exist</span>""","dif1 polite"
"35","김밥&nbsp;맛있어요.","Kimbap is delicious.","","""<span style="""" font-style: normal; font-weight: normal;"""">김밥 - Korean food, 맛있다 - to be tasty</span>""","dif1 polite"
"36","맛없어요.","It tastes bad.","It's tasteless.","""<span style="""" font-style: normal; font-weight: normal;"""">맛 - taste, 없다 - to not have</span>""","dif1 polite"
"37","더 주세요.","Please give me some more (of it).","I'd like more, please.","더 - more","dif1 honorific"
"38","끝났어요.","It's over.","It has finished.","끝나다 - to end; this is the simple past form","dif1 polite"
"39","네, 좋아요.","Yes, okay.","Yes, it's good.","좋다 - to be good","dif1 polite"
"40","필요없어요.","It's unnecessary.","There's no need.","필요 - need, 없다 - to not exist","dif1 polite"
"41","버려요.","Throw it away.","","버리다 - to throw away","dif1 polite"
"42","쉬워요.","It's easy.","","쉽다 - to be easy","dif1 irregular polite"
"43","먹어요.","I eat.","We're eating.","먹다 - to eat","dif1 polite"
"44","봐요.","I watch.","I'm watching.","보다 - to watch, to see","dif1 polite"
"45","간단해요.","It's simple.","","간단하다 - to be simple","dif1 polite"
"46","여러분 사랑해요.","I love all of you.","Everyone, I love you.","""<span style="""" font-style: normal; font-weight: normal;"""">여러분 - everyone (when directly addressing people), 사랑하다 - to love</span>""","dif1 polite"
"47","같이 공부해요.","Let's study together.","","""<span style="""" font-style: normal; font-weight: normal;"""">같이 - together, 공부하다 - to study</span>""","dif1 polite"
"48","여기 어디예요?","Where are we?","Where is this place?","""여기 - here, 어디 - where. Koreans tend to ask """"Where is here?"""" instead of """"Where are we?""""""","dif1 polite"
"49","밥을 먹어요.","I eat a meal.","He eats a meal.","밥 - meal, 을 - object marking particle","dif1 polite"
"50","차를 마셔요.","I drink tea.","Drink some tea.","차 - tea, 마시다 - to drink, 를 - object marking particle","dif1 polite"
"51","도서관에서 책을 읽어요.","I read a book in the library.","He's reading a book in the library.","""<span style="""" font-style: normal; font-weight: normal;"""">도서관 - library,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에서 - location marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">책 - book,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">을 - object marking particle, 읽다 - to read</span>""","dif1 polite"
"52","옷장은 어디에 있어요?","Where is the closet?","","""<span style="""" font-style: normal; font-weight: normal;"""">옷장 - closet,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">은 - topic marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">어디 - where,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에 - location marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">있어요 - is</span>""","dif1 polite"
"53","어제는 따뜻했어요.","It was warm yesterday.","","""<span style="""" font-style: normal; font-weight: normal;"""">어제 - yesterday, 따뜻하다 - to be warm</span>""","dif1 polite"
"54","달라요.","They are different.","It's different.","다르다 - to be different","dif1 irregular polite"
"55","학교에 갔어요.","I went to school.","They went to school.","""<span style="""" font-style: normal; font-weight: normal;"""">학교 - school,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에 - location marking particle, 가다 - to go</span>""","dif1 polite"
"56","한국에 왔어요.","I came to Korea.","She came to Korea.","한국 - Korea, 에 - location marking particle, 오다 - to come","dif1 polite"
"57","지금 어디에 있어요?","Where are you now?","","지금 - now, 어디 - where","dif1 polite"
"58","집에 있어요.","I'm at home.","We're at home.","집 - home","dif1 polite"
"59","사무실에서 일해요.","I work at the office.","","사무실 - office, 일하다 - to work","dif1 polite"
"60","여기는 우리 집이에요.","This (here) is my house.","","""Koreans use """"our"""" instead of """"my"""" to describe things like house, school, family members. 여기 - here, 우리 - we/our, 집 - house""","dif1 polite"
"61","""<span style="""" font-style: normal; font-weight: normal;"""">저는 방에서 공부해요.</span>""","I study in the room.","","저 - I, 방 - room, 공부하다 - to study","dif1 polite"
"62","언제 했어요?","When did you do it?","","""<span style="""" font-style: normal; font-weight: normal;"""">언제 - when, 하다 - to do</span>""","dif1 polite"
"63","언제 도착했어요?","When did you arrive?","When did she arrive?","""<span style="""" font-style: normal; font-weight: normal;"""">언제 - when, 도착하다 - to arrive</span>""","dif1 polite"
"64","아침에 언제 일어나요?","When do you get up in the morning?","","일어나다 - to get up,&nbsp;아침 - morning, 에 - time/location marking particle","dif1 polite"
"65","열 살이에요.","I am ten years old.","He is ten years old.","열 - ten, 살 - a counter for years","dif1 polite"
"66","스무 살이에요.","I am 20 years old.","","You remove the ㄹ from 스물 if it's followed by a counter","dif1 polite"
"67","집에 안 가요.","I'm not going home.","I don't go home.","집 - home, 안 - not, 가다 - to go","dif1 polite"
"68","집에 안 가요?","Aren't you going home?","Doesn't he go home?","안 - negation, not","dif1 polite"
"69","그거 아직 안 버렸어요.","I didn't throw it away yet.","","그거 - it, 아직 - yet, 안 - not, 버리다 - to throw away","dif1 polite"
"70","안 아파요.","It doesn't hurt.","I'm not sick.","아프다 - to be sick","dif1 polite"
"71","안 먹어요. 배 안 고파요.","I'm not eating. I'm not hungry.","","먹다 - to eat, 배 고프다 - to be hungry","dif1 polite"
"72","몰라요.","I don't know.","","모르다 - to not know","dif1 irregular polite"
"73","사과 안 먹어요.","I don't eat apples.","He doesn't eat apples.","사과 - apple","dif1 polite"
"74","이 음식은 너무 매워요.","This food is very spicy.","This food is too spicy.","""<span style="""" font-style: normal; font-weight: normal;"""">이 - this,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">음식 - food,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">너무 - too, 맵다 - to be spicy</span>""","dif1 irregular polite"
"75","저는 부엌에서 음식을 만들어요.","I prepare food in the kitchen.","","""<span style="""" font-style: normal; font-weight: normal;"""">부엌 - kitchen,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에서 - location marking particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">음식 - food, 만들다 - to make</span>""","dif1 polite"
"76","방에 전화가 있어요?","Is there a telephone in the room?","","""<span style="""" font-style: normal; font-weight: normal;"""">방 - room,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">전화 - telephone, 가 - subject marking particle</span>""","dif1 polite"
"77","아니요, 책상이 아니에요.","No, it's not a desk.","","""<span style="""" font-style: normal; font-weight: normal;"""">아니요 - no,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">책상 - desk, 이 - subject marking particle</span>""","dif1 polite"
"78","진짜 운동했어요.","I really worked out.","I really did some exercises.","진짜 - really, 운동 - sports, exercise","dif1 polite"
"79","이거는 냉장고가 아니에요.","This is not a refrigerator.","","""<span style="""" font-style: normal; font-weight: normal;"""">이거 - this,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">냉장고 - refrigerator</span>""","dif1 polite"
"80","옷장이 없어요.","There is no closet.","","""<span style="""" font-style: normal; font-weight: normal;"""">옷장 - closet, 이 - subject marking particle</span>""","dif1 polite"
"81","가방이 교실에 있어요.","The bag is in the classroom.","","""<span style="""" font-style: normal; font-weight: normal;"""">가방 - bag,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">교실 - classroom</span>""","dif1 polite"
"82","샐리 씨가 집에 없어요.","Sally is not at home.","","""<span style="""" font-style: normal; font-weight: normal;"""">샐리 - Sally,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">집 - home</span>""","dif1 polite"
"83","누구세요?","Who is it?","Who's there?","This expression is used when you hear someone knocking on your door","dif1 honorific"
"84","이거&nbsp;얼마예요?","How much is this?","How much does this one cost?","""<span style="""" font-style: normal; font-weight: normal;"""">얼마 - how much (money)</span>""","dif1 polite"
"85","저거&nbsp;얼마예요?","How much is that one?","","얼마 - how much (money)","dif1 polite"
"86","얼마 냈어요?","How much did you pay?","","얼마 - how much (money), 내다 - to pay","dif1 polite"
"87","이 책 좋아해요?","Do you like this book?","","이 - this, 책 - book, 좋아하다 - to like","dif1 polite"
"88","지갑 찾았어요?","Did you find your wallet?","","""<span style="""" font-style: normal; font-weight: normal;"""">지갑 - wallet, 찾다 - to find</span>""","dif1 polite"
"89","오늘은 비가 왔어요.","It rained today.","","""<span style="""" font-style: normal; font-weight: normal;"""">오늘 - today, 비 - rain, 오다 - to come</span>""","dif1 polite"
"90","집에 있었어요.","I stayed at home.","","The verb '있다' means 'to stay' in this case","dif1 polite"
"91","프랑스어를 공부해요.","I'm studying French.","He studies French.","""<span style="""" font-style: normal; font-weight: normal;"""">프랑스어 - the French language, 공부하다 - to study,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">를 - object marking particle</span>""","dif1 polite"
"92","김치를 많이 먹어요.","I eat a lot of Kimchi.","","""<span style="""" font-style: normal; font-weight: normal;"""">김치 - kimchi,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">많이 - a lot, 먹다 - to eat</span>""","dif1 polite"
"93","어디에 가요?","Where are you going?","","에 - 'direction towards' marking particle","dif1 polite"
"94","수요일이에요.","It's Wednesday.","","""<span style="""" font-style: normal; font-weight: normal;"""">수요일 - Wednesday</span>""","dif1 polite"
"95","토요일에 만나요.","I meet her on Saturday.","Let's meet on Saturday.","""<span style="""" font-style: normal; font-weight: normal;"""">토요일 - Saturday, 에 - time marking particle, 만나다 - to meet</span>""","dif1 polite"
"96","저는 커피를 안 마셔요.","I don't drink coffee.","","""<span style="""""""">커피 - coffee, 안 - not, 마시다 - to drink</span>""","dif1 polite"
"97","오늘 학교에 안 가요.","I'm not going to school today.","","""<span style="""""""">오늘 - today,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">학교 - school</span>""","dif1 polite"
"98","주말에 운동해요?","Do you exercise on weekends?","","""<span style="""" font-style: normal; font-weight: normal;"""">주말 - weekend, 운동하다 - to exercise</span>""","dif1 polite"
"99","아니요, 운동 안 해요.","No, I don't exercise.","","""<span style="""" font-style: normal; font-weight: normal;"""">아니요 - no,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">운동 - exercise</span>""","dif1 polite"
"100","저는 여동생이 있어요.","I have a younger sister.","<div>Lit: As&nbsp;for me, a younger sister exists.</div>","""<span style="""" font-style: normal; font-weight: normal;"""">여동생 - younger sister</span>""","dif1 polite"
"101","저는 취미가 없어요.","I don't have a hobby.","","""<span style="""" font-style: normal; font-weight: normal;"""">취미 - hobby</span>""","dif1 polite"
"102","저는 서울에 살아요.","I live in Seoul.","","""<span style="""" font-style: normal; font-weight: normal;"""">서울 - Seoul, 살다 - to live</span>""","dif1 polite"
"103","어제 일 안 했어요.","I didn't work yesterday.","","""<span style="""" font-style: normal; font-weight: normal;"""">어제 - yesterday,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">일 - work</span>""","dif1 polite"
"104","정말 이상해요.","It’s really strange.","","""<span style="""" font-style: normal; font-weight: normal;"""">정말 - really, 이상하다 - to be strange</span>""","dif1 polite"
"105","아주 멀어요.","It’s very far away.","","""<span style="""" font-style: normal; font-weight: normal;"""">아주 - very (mostly for the written language), 멀다 - to be far</span>""","dif1 polite"
"106","사과가 비쌌어요.","Apples were expensive.","","""<span style="""" font-style: normal; font-weight: normal;"""">사과 - apple, 비싸다 - to be expensive</span>""","dif1 polite"
"107","방을 청소했어요.","I cleaned my room.","","""<span style="""" font-style: normal; font-weight: normal;"""">방 - room, 청소하다 - to clean</span>""","dif1 polite"
"108","친구가 전화했어요.","A friend of mine called (on the phone).","","""<span style="""" font-style: normal; font-weight: normal;"""">친구 - friend, 전화하다 - to make a phone call</span>""","dif1 polite"
"109","영어를 가르쳤어요.","I taught English.","","""<span style="""" font-style: normal; font-weight: normal;"""">영어 - English, 가르치다 - to teach</span>""","dif1 polite"
"110","주스를 마셨어요.","I drank juice.","","""<span style="""" font-style: normal; font-weight: normal;"""">주스 - juice, 마시다 - to drink</span>""","dif1 polite"
"111","음악을 들었어요.","I listened to music.","","듣다 - to listen. In some (most) verbs, the final ㄷ of the verb stem changes to ㄹ if the attached ending starts with a vowel.","dif1 irregular polite"
"112","무엇입니까?","What's this?","","""<span style="""" font-style: normal; font-weight: normal;"""">무엇 - the unshortened form of '뭐', -ㅂ니까 - the formal style question ending, 이다 - to be</span>""","dif1 formal"
"113","의자입니다.","It's a chair.","","""<span style="""" font-style: normal; font-weight: normal;"""">의자 - chair</span>""","dif1 formal"
"114","학생입니까?","Are you a student?","","""<span style="""" font-style: normal; font-weight: normal;"""">학생 - student</span>""","dif1 formal"
"115","저는 차가 없어요.","I don't have a car.","","""<span style="""" font-style: normal; font-weight: normal;"""">차 - car</span>""","dif1 polite"
"116","책이 얼마예요?","How much is the book?","How much does the book cost?","","dif1 polite"
"117","전화번호가 뭐예요?","What's your phone number?","","""<span style="""" font-style: normal; font-weight: normal;"""">전화번호 - phone number</span>""","dif1 polite"
"118","질문 있습니까?","Do you have any questions?","","""<span style="""" font-style: normal; font-weight: normal;"""">질문 - question, 있다 - to have</span>""","dif1 formal"
"119","좋습니다.","It's good.","I like it.","좋다 - to be good","dif1 formal"
"120","네, 학교에 갑니다.","Yes, I'm going to school.","","""<span style="""" font-style: normal; font-weight: normal;"""">학교 - school</span>""","dif1 formal"
"121","운동을 합니까?","Do you exercise?","","""<span style="""" font-style: normal; font-weight: normal;"""">운동하다 - to exercise</span>""","dif1 formal"
"122","네, 운동을 합니다.","Yes, I exercise.","","","dif1 formal"
"123","사랑해요, 캐럴 씨.","I love you, Carol.","","사랑하다 - to love","dif1 polite"
"124","민우 씨는 직업이 뭐예요?","What is Minu's job?","","""<span style="""" font-style: normal; font-weight: normal;"""">직업 - job</span>""","dif1 polite"
"125","이름이 뭐예요?","What's your name?","","""<span style="""" font-style: normal; font-weight: normal;"""">이름 - name</span>""","dif1 polite"
"126","교회에 다녀요.","They go to church (regularly).","They attend church.","""<span style="""" font-style: normal; font-weight: normal;"""">교회 - church, 다니다 - to attend</span>""","dif1 polite"
"127","백화점에 가요.","I'm going to the department store.","","""<span style="""" font-style: normal; font-weight: normal;"""">백화점 -&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">department store</span>""","dif1 polite"
"128","아니요, 안 와요.","No, she isn't coming.","","오다 - to come","dif1 polite"
"129","한국말을 알아요.","I know Korean.","","""<span style="""" font-style: normal; font-weight: normal;"""">한국말 - Korean, 알다 - to know</span>""","dif1 polite"
"130","방이 안 넓어요.","The room is not spacious.","","방 - room, 넓다 - to be spacious","dif1 polite"
"131","저기 재준 씨가 와요.","There's Jaejun coming (this way).","","""<span style="""" font-style: normal; font-weight: normal;"""">저기 - there (far from the speaker), 오다 - to come</span>""","dif1 polite"
"132","어디가 아파요?","Where does it hurt?","","""'<span style="""" font-style: normal; font-weight: normal;"""">어디' is a noun in Korean so it can be followed by the subject marking particle. Sometimes a more accurate translation is 'which place' or 'what place'.</span>""","dif1 polite"
"133","넥타이가 멋있어요.","Your tie looks nice.","","""<span style="""" font-style: normal; font-weight: normal;"""">넥타이 - tie, 멋있다 - to be cool</span>""","dif1 polite"
"134","고맙습니다.","Thank you.","","고맙다 - to be thankful","dif1 formal"
"135","형은 키가 커요.","My older brother is tall.","","""<span style="""" font-style: normal; font-weight: normal;"""">형 - older brother, 키 - height, 크다 - to be big</span>""","dif1 polite"
"136","동생은 키가 작아요.","My younger brother is short.","My younger sister is short.","""<span style="""" font-style: normal; font-weight: normal;"""">동생 - younger sibling, 작다 - to be small, 키 - height</span>""","dif1 polite"
"137","무엇을 배워요?","What do you study?","","""<span style="""" font-style: normal; font-weight: normal;"""">무엇 - what, 배우다 - to learn</span>""","dif1 polite"
"138","배가 고파요.","I'm hungry.","","배 - stomach","dif1 polite"
"139","하미 씨, 지금 울어요?","Hami, are you crying?","","울다 - to cry","dif1 polite"
"140","엄마를 도와요.","I help my mother.","","""<span style="""" font-style: normal; font-weight: normal;"""">엄마 - mom, 돕다 - to help</span>""","dif1 irregular polite"
"141","어려워요.","It is difficult.","","어렵다 - to be difficult","dif1 irregular polite"
"142","추웠어요.","It was cold.","","춥다 - to be cold","dif1 irregular polite"
"143","음악을 좋아해요?","Do you like music?","","""<span style="""" font-style: normal; font-weight: normal;"""">음악 - music</span>""","dif1 polite"
"144","만호는 종이가 없어요.","Manho hasn't got any paper.","","""<span style="""" font-style: normal; font-weight: normal;"""">종이 - paper</span>""","dif1 polite"
"145","배가 아파요.","I have a stomachache.","","""<span style="""" font-style: normal; font-weight: normal;"""">배 - stomach</span>""","dif1 polite"
"146","목이 아파요.","I have a sore throat.","","""<span style="""" font-style: normal; font-weight: normal;"""">목 - throat, neck</span>""","dif1 polite"
"147","뭐 골랐어요?","What did you choose?","What did you pick?","고르다 - to choose","dif1 irregular polite"
"148","머리 언제 잘랐어요?","When did you cut your hair?","","머리 - hair, 자르다 - to cut","dif1 irregular polite"
"149","<div>이 드라마&nbsp;재미있어요.</div>","This TV show is interesting.","This TV show is fun to watch.","드라마 - TV show","dif1 polite"
"150","안녕.","Hi!","Bye!","This is the casual style greeting.","casual dif1"
"151","웃어요.","He smiles.","They laugh.","웃다 - to smile, laugh","dif1 polite"
"152","화장실&nbsp;어디예요?","Where's the bathroom?","","""화장실 - toilet, bathroom. Question """"어디예요?"""" is normally used when asking about the location of buildings or places that can't be moved (like the bathroom). Otherwise question """"어디에 있어요?"""" is used.""","dif1 polite"
"153","가고 싶어요.","I want to go.","","가다 - to go, -고 싶다 - to want to","dif2 polite"
"154","보고 싶어요.","I miss you.","I want to see it.","This is a common expression. 보다 - to see, -고 싶다 - to want to","dif2 polite"
"155","뭐 하고 싶어요?","What do you want to do?","","뭐 - what (short from 무엇), 하다 - to do, -고 싶다 - to want to","dif2 polite"
"156","텔레비전 보고 싶어요.","I want to watch TV.","We want to watch TV.","""<span style="""" font-style: normal; font-weight: normal;"""">텔레비전 - TV</span>""","dif2 polite"
"157","영화&nbsp;보고 싶어요.","I want to watch a movie.","She wants to watch a movie.","""<span style="""" font-style: normal; font-weight: normal;"""">영화 - movie</span>""","dif2 polite"
"158","이거 사고 싶어요.","I want to buy this.","","""<span style="""" font-style: normal; font-weight: normal;"""">이거 - this, 사다 - to buy</span>""","dif2 polite"
"159","일하고 싶어요.","I want to work.","","일하다 - to work","dif2 polite"
"160","어디 가고 싶어요?","Where do you want to go?","","""<span style="""" font-style: normal; font-weight: normal;"""">어디 - where, 가다 - to go</span>""","dif2 polite"
"161","저도 싫어요.","I hate it too.","I don't want to either.","""<span style="""" font-style: normal; font-weight: normal;"""">저 - I,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">도 - too, 싫다 - to hate, be unlikeable</span>""","dif2 polite"
"162","사무실에 있어요. 빨리 와요.","I'm at the office, come quickly.","I'm at the office, hurry up and come.","사무실 - office, 빨리 - quickly, 오다 - to come","dif2 polite"
"163","책이 책상 위에 있어요.","The book is on the desk.","","""<span style="""" font-style: normal; font-weight: normal;"""">책 - book,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">책상 - desk,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">위 - on, above,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에 - location marking particle</span>""","dif2 polite"
"164","사과가 의자 아래에 있어요.","The apple is under the chair.","","""<span style="""" font-style: normal; font-weight: normal;"""">사과 - apple,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">의자 - chair,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">아래 - below</span>""","dif2 polite"
"165","가게가 집 앞에 있어요.","The store is in front of the house.","","""<span style="""" font-style: normal; font-weight: normal;"""">가게 - store,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">앞 - front</span>""","dif2 polite"
"166","식당이 도서관 뒤에 있어요.","The restaurant is behind the library.","","""<span style="""" font-style: normal; font-weight: normal;"""">식당 - restaurant,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">도서관 - library,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">뒤 - behind</span>""","dif2 polite"
"167","컴퓨터가 텔레비전 옆에 있어요.","The computer is next to the TV.","","""<span style="""" font-style: normal; font-weight: normal;"""">컴퓨터 - computer,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">텔레비전 - TV,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">옆 - beside</span>""","dif2 polite"
"168","우산이 가방 안에 있어요.","The umbrella is in the bag.","","""<span style="""" font-style: normal; font-weight: normal;"""">우산 - umbrella,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">가방 - bag,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">안 - inside</span>""","dif2 polite"
"169","식당은 몇 층에 있어요?","What floor is the restaurant on?","","""<span style="""" font-style: normal; font-weight: normal;"""">식당 - restaurant,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">몇 - which number,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">층 - floor</span>""","dif2 polite"
