"index","word","meaning","hanzi","category"
"147","저녁","evening;<div>dinner</div>","",""
"148","금요일","Friday","金曜日",""
"149","일어나다","to wake up, get up;<div>to happen</div>","",""
"150","날씨","weather","",""
"151","번","time (first, second...)","番",""
"152","타다","to ride, get in;<br>to burn, be tanned","",""
"153","자주","often","",""
"154","공원","park","公園",""
"155","만들다","to make","",""
"156","바지","pants","",""
"157","형","a man's older brother;<br />type, style;<br />punishment","兄,&nbsp;型,&nbsp;刑",""
"158","일하다","to work","",""
"159","자동차","car","自動車",""
"160","고기","meat",""," food "
"161","그렇다","to be so (like that)","",""
"162","은행","bank","銀行",""
"163","더","more","",""
"164","청소하다","to clean up, to vacuum","淸掃",""
"165","다음","the next, the following","",""
"166","독일","Germany","獨逸",""
"167","배우다","to learn","",""
"168","아이","child","",""
"169","안녕히","peacefully;<div>safely</div>","安寧",""
"170","끝나다","to end, be over","",""
"171","개","dog;<div>thing (<i>count.</i>)</div>","",""
"172","토요일","Saturday","土曜日",""
"173","기다리다","to wait","",""
"174","김밥","Korean dried seaweed rice rolls",""," food "
"175","이번","this time","-番",""
"176","나쁘다","to be bad","",""
"177","밤","night;<div>chestnut</div>","",""
"178","여행","trip, travel","旅行",""
"179","다니다","to go (frequently),<br>to attend, work for","",""
"180","너무","too (much)","",""
"181","부모님","parents","父母-",""
"182","재미없다","to be boring, dull","",""
"183","텔레비전","TV",""," eng "
"184","사진","picture, photo","寫眞",""
"185","받다","to receive, accept;<div>to take</div>","",""
"186","병원","hospital","病院",""
"187","딸","daughter","",""
"188","도착하다","to arrive","到着",""
"189","나라","country, nation","",""
"190","점심","lunch; afternoon","點心",""
"191","싸다","to be inexpensive, cheap;<div>to wrap up, pack</div>","",""
"192","얼마","how much (money)","",""
"193","일요일","Sunday","日曜日",""
"194","돕다","to help","",""
"195","앞","the front","",""
"196","주말","weekend","週末",""
"197","다르다","to be different","",""
"198","그래서","therefore","",""
"199","선물","present, gift","膳物",""
"200","생각하다","to think","",""
"201","빵","bread",""," food "
"202","약속","appointment;<div>promise</div>","約束",""
"203","싫다","to be unlikable, to not like","",""
"204","거기","there","",""
"205","음식","food","飮食",""
"206","나오다","to come out","",""
"207","아들","son","",""
"208","도서관","library","圖書館",""
"209","길다","to be long","",""
"210","다","all","",""
"211","문제","problem, question","問題",""
"212","웃다","to laugh, smile","",""
"213","아이스크림","ice cream",""," eng food "
"214","일주일","one week","一週日",""
"215","좋아하다","to like","",""
"216","명","counter for people","名",""
"217","고양이","cat","",""
"218","수영하다","to swim","水泳",""
"219","이쪽으로","this way, over here","",""
"220","인사","greetings","人事",""
"221","늦다","to be late","",""
"222","몇","how many","",""
"223","시장","market;<div>mayor</div>","市場,&nbsp;市長",""
"224","찍다","to take a picture;<br />to mark, stamp, dip into, chop","",""
"225","하지만","but, though","",""
"226","시험","exam, test","試驗",""
"227","맞다","to be correct;<div>to be hit, struck</div>","",""
"228","치마","skirt","",""
"229","시","poem;<div>time, hour;</div><div>o'clock</div>","詩,&nbsp;時",""
"230","못하다","to be unable to do","",""
"231","요즘","these days","",""
"232","화장실","toilet, bathroom","化粧室",""
"233","멀다","to be far","",""
"234","수업","class, instruction","受業·授業",""
"235","무슨","which/what (+ noun)","",""
"236","운전하다","to drive","運轉",""
"237","프랑스","France",""," eng "
"238","월","month","月",""
"239","많다","to be many, to be plenty","",""
"240","나이","age","",""
"241","매일","every day","每日",""
"242","부르다","to call, to call out","",""
"243","마음","mind, heart, nature","",""
"244","포도","grape","葡萄"," food "
"245","반갑다","to be glad, happy, pleased","",""
"246","안","inside, within;<br />not;<div>proposal</div>","案",""
"247","지하철","subway","地下鐵",""
"248","닫다","to close","",""
"249","우리","we (<i>informal</i>)","",""
"250","시계","clock, watch","時計",""
"251","짧다","to be short","",""
"252","다시","again","",""
"253","분","minute;<div>person (hon.)</div>","分",""
"254","지내다","to spend time;<div>to pursue;</div><div>to associate with</div>","",""
"255","얼마나","how + adjective/adverb","",""
"256","식당","restaurant, cafeteria, diner","食堂",""
"257","덥다","to be hot (regarding the weather)","",""
"258","혼자","alone","",""
"259","오월","May","五月",""
"260","쉬다","to rest, take a rest","",""
"261","꽃","flower","",""
"262","정말","really, seriously","正-",""
"263","고맙다","to be thankful, grateful","",""
"264","피자","pizza",""," eng food "
"265","대답","answer","對答",""
"266","되다","to become, get, turn into","",""
"267","손","hand","",""
"268","취미","hobby","趣味",""
"269","가깝다","to be close","",""
"270","그래","yes, okay","",""
"271","자전거","bicycle","自轉車",""
"272","내리다","to come down, put down;<div>to get out of;</div><div>to take off</div>","",""
"273","옆","beside, next to","",""
"274","유월","June","六月",""
"275","열다","to open","",""
"276","보통","usually, normally","普通",""
"277","저쪽","that side, over there","",""
"278","중요하다","to be important","重要",""
"279","술","alcoholic drink",""," food "
"280","신문","newspaper","新聞",""
"281","말다","to not do","",""
"282","신발","shoes, footwear","",""
"283","백화점","department store","百貨店",""
"284","같다","to be the same (as);<div>to look like, seem like</div>","",""
"285","컴퓨터","computer",""," eng "
"286","감기","cold (the illness)","感氣",""
"287","적다","to write down, fill out;<div>to be small in quantity</div>","",""
"288","곳","place","",""
"289","직업","job, occupation","職業",""
"290","잘하다","to do well, be skillful","",""
"291","나중에","later","",""
"292","의사","doctor, physician;<div>intention, idea</div>","醫師,&nbsp;意思",""
"293","괜찮다","to be okay","",""
"294","과일","fruit",""," food "
"295","극장","movie theater;<div>theater</div>","劇場",""
"296","가르치다","to teach","",""
"297","새","new;<div>bird</div>","",""
"298","고향","hometown","故鄕",""
"299","맵다","to be spicy, hot;<div>to be intense</div>","",""
"300","일월","January","一月",""
"301","그런데","by the way, but then","",""
"302","결혼하다","to get married","結婚",""
"303","잠","sleep, nap","",""
"304","사전","dictionary","辭典",""
"305","나가다","to go out","",""
"306","언니","older sister (of a female)","",""
"307","냉장고","refrigerator","冷藏庫",""
"308","여러분","everyone, ladies and gentlemen","",""
"309","따뜻하다","to be warm, kind","",""
"310","공항","airport","空港",""
"311","그런","such, that kind of","",""
"312","씻다","to wash","",""
"313","거리","distance;<div>street, road</div>","距離",""
"314","오렌지","orange",""," eng food "
"315","태어나다","to be born","",""
"316","침대","bed","寢臺",""
"317","때","time; when;<div>occasion;</div><div>dirt</div>","",""
"318","힘들다","to be difficult, tiring, painful","",""
"319","이월","February","二月",""
"320","천천히","slowly","",""
"321","놓다","to lay, put, place;<br>to let go","",""
"322","영국","United Kingdom","英國",""
"323","달","month, moon","",""
"324","춤추다","to dance","",""
"325","창문","window","窓門",""
"326","누나","older sister (of a male)","",""
"327","슬프다","to be sad","",""
"328","열심히","diligently, passionately","熱心",""
"329","그림","picture","",""
"330","잡다","to catch, grab, take","",""
"331","씨","Mr., Ms.;<div>seed, kernel</div>","氏",""
"332","늦게","late","",""
"333","걱정하다","to worry","",""
"334","가수","singer","歌手",""
"335","여름","summer","",""
"336","팔다","to sell","",""
"337","잔","cup, glass","盞",""
"338","엄마","mom","",""
"339","깨끗하다","to be clean","",""
"340","모자","hat, cap;<div>mother and son</div>","帽子,&nbsp;母子",""
"341","카메라","camera",""," eng "
"342","울다","to cry","",""
"343","준비","preparation, arrangement","準備",""
"344","속","inside","",""
"345","구두","dress shoes","",""
"346","축하하다","to congratulate","祝賀",""
"347","불고기","marinated beef",""," food "
"348","어떤","some, certain;<br>what kind of","",""
"349","삼월","March","三月",""
"350","걷다","to walk","",""
"351","나","I (<i>informal</i>)","",""
"352","태권도","Taekwondo","跆拳道",""
"353","뜨겁다","to be hot (regarding objects)","",""
"354","아빠","dad","",""
"355","작년","last year","昨年",""
"356","보내다","to send;<br />to pass (spend) time","",""
"357","조금","a little","",""
"358","오전","before noon","午前",""
"359","여동생","younger sister","女--",""
"360","세수하다","to wash one's face","洗手",""
"361","힘","power, strength, force, capability","",""
"362","일찍","early","",""
"363","편지","letter, note","便紙·片紙",""
"364","맛없다","to be tasteless, unsavory","",""
"365","무엇","what, which, something (the unshortened form of 뭐)","",""
"366","서점","bookstore","書店",""
"367","걸리다","to take time;<div>to hang;<br /><div>to be caught</div></div>","",""
"368","아직","yet, still","",""
"369","맥주","beer","麥酒"," food "
"370","싫어하다","to dislike","",""
"371","또","again, repeatedly;<div>also, too</div>","",""
"372","사월","April","四月",""
"373","치다","to play a game;<br>to hit, attack","",""
"374","초콜릿","chocolate",""," eng food "
"375","제일","the most","第一",""
"376","남동생","younger brother","男--",""
"377","시원하다","to be cool, refreshing","",""
"378","그분","he/she","",""
"379","병","bottle;<div>sickness, disease</div>","甁",""
"380","올해","this year","",""
"381","내다","to pay;<div>to hand in;<br /><div>to produce</div></div>","",""
"382","오후","after noon","午後",""
"383","겨울","winter","",""
"384","생기다","to occur, happen;<div>to look;</div><div>to form</div>","",""
"385","층","floor (count.)","層",""
"386","얼굴","face","",""
"387","조용하다","to be quiet","",""
"388","한번","one time","-番",""
"389","얘기","story;<div>talk, conversation</div>","",""
"390","모두","all together, everyone","",""
"391","소개하다","to introduce, recommend","紹介",""
"392","가끔","sometimes","",""
"393","검은색","black",""," color "
"394","역","train station;<div>part in a play</div>","驛,&nbsp;役",""
"395","짜다","to organize, construct;<div>to be salty</div>","",""
"396","생선","fish (for eating)","生鮮"," food "
"397","오래","a long time","",""
"398","휴일","public holiday","休日",""
"399","버리다","to abandon, to throw away","",""
"400","위","above;<div>stomach</div>","胃",""
"401","먼저","first, ahead","",""
"402","건강하다","to be healthy","健康",""
"403","할머니","grandmother","",""
"404","칠월","July","七月",""
"405","가지다","to posess (have)","",""
"406","샌드위치","sandwich",""," eng food "
"407","동물","animal","動物",""
"408","똑같다","to be exactly the same","",""
"409","키","height","",""
"410","남편","husband","男便",""
"411","서다","to stand;<div>to stop</div>","",""
"412","그렇지만","but, however","",""
"413","계획","plan, project","計劃",""
"414","잘못하다","to make a mistake","",""
"415","사무실","office","事務室",""
"416","너","you (<i>informal</i>)","",""
"417","벌써","already","",""
"418","필요하다","to need","必要",""
"419","흰색","white",""," color "
"420","부엌","kitchen","",""
"421","잠시","a short while","暫時",""
"422","들어가다","to enter, go in","",""
"423","안경","glasses, eyeglasses","眼鏡",""
"424","봄","spring","",""
"425","남학생","male student","男學生",""
"426","놀라다","to be surprised, astonished, startled","",""
"427","팔월","August","八月",""
"428","이런","such","",""
"429","생활","life, living, livelihood","生活",""
"430","계시다","to exist (hon.)","",""
"431","수박","watermelon",""," food "
"432","교실","classroom","敎室",""
"433","살","years of age (<i>count.</i>);<div>flesh, muscle</div>","",""
"434","미안하다","to be sorry (less formal)","未安",""
"435","파티","party (social gathering)",""," eng "
"436","색깔","color","色-",""
"437","끝내다","to finish (something)","",""
"438","우체국","post office","郵遞局",""
"439","여러","many, several","",""
"440","축구","football (soccer)","蹴球",""
"441","달다","to be sweet;<br />to put up, attach;<div>to weigh, measure</div>","",""
"442","산","mountain","山",""
"443","어느","which","",""
"444","배우","actor","俳優",""
"445","구경하다","to go sightseeing, look around;<div>to see, watch (a show, movie, play, sports game etc.)</div>","",""
"446","할아버지","grandfather","",""
"447","냉면","cold noodles","冷麵"," food "
"448","밑","the bottom, below","",""
"449","유명하다","to be famous","有名",""
"450","처음","for the first time;<div>the origin</div>","",""
"451","구월","September","九月",""
"452","왼쪽","left side","",""
"453","설명하다","to explain","說明",""
"454","밖","the outside","",""
"455","잡지","magazine, journal","雜誌",""
"456","비슷하다","to be similar","",""
"457","외국","foreign country","外國",""
"458","며칠","several days;<div>day of the month</div>","",""
"459","청바지","blue jeans","靑--",""
"460","들어오다","to come in, enter","",""
"461","반","half;<br>group, class","半,&nbsp;班",""
"462","택시","taxi",""," eng "
"463","진짜","really, very;<div>real thing</div>","眞-",""
"464","아름답다","to be beautiful","",""
"465","식사","meal","食事",""
"466","동안","during, interval","",""
"467","사용하다","to use, make use of","使用",""
"468","뒤","behind","",""
"469","시월","October","十月",""
"470","밝다","to be bright, light;<div>to be promising;</div><div>to be sharp, keen</div>","",""
"471","교수","professor;<br>teaching, instruction","敎授",""
"472","마지막","the last, final one","",""
"473","계속하다","to continue","繼續",""
"474","맛","taste, flavor","",""
"475","양말","socks","洋襪",""
"476","가을","autumn","",""
"477","초대하다","to invite","招待",""
"478","비빔밥","boiled rice with assorted mixtures",""," food "
"479","주소","address, residence","住所",""
"480","빠르다","to be quick, fast","",""
"481","물건","thing, object, article","物件",""
"482","길","street, road","",""
"483","여학생","female student","女學生",""
"484","들다","to be included, be among;<div>to pick up, hold, carry;</div><div>to mention, state</div>","",""
"485","이렇게","like this, in this way","",""
"486","도시","city","都市",""
"487","아내","wife","",""
"488","연습하다","to practice, train","練習",""
"489","캐나다","Canada",""," eng "
"490","오른쪽","right side","",""
"491","약국","pharmacy","藥局",""
"492","도와주다","to help out, assist","",""
"493","강","river","江",""
"494","파란색","blue",""," color "
"495","지갑","wallet;<div>purse</div>","紙匣",""
"496","높다","to be high;<div>to be noble</div>","",""
"497","십일월","November","十一月",""
"498","모든","all; every","",""
"499","이해하다","to understand, grasp","理解",""
"500","팔","arm","",""
"501","항상","always","恒常",""
"502","잊다","to forget","",""
"503","기숙사","dormitory","寄宿舍",""
"504","라면","ramen",""," food "
"505","출발하다","to depart, leave","出發",""
"506","값","price, cost","",""
"507","거실","living room","居室",""
"508","무겁다","to be heavy","",""
"509","외국어","foreign language","外國語",""
"510","앞으로","from now on","",""
"511","실례하다","to be excused","失禮",""
"512","함께","together, in company with","",""
"513","십이월","December","十二月",""
"514","켜다","to turn on, switch on","",""
"515","아줌마","middle aged woman","",""
"516","전","before, prior to","前",""
"517","쇼핑","shopping",""," eng "
"518","복잡하다","to be crowded;<div>to be complicated</div>","複雜",""
"519","그렇게","so, like that","",""
"520","대학생","college student","大學生",""
"521","지난주","last week","--週",""
"522","바꾸다","to change, switch, alter","",""
"523","화","anger;<div>disaster, misfortune</div>","火,&nbsp;禍",""
"524","바로","right there;<br>directly","",""
"525","죽다","to die","",""
"526","학년","school year","學年",""
"527","사이","relationship;<div>distance apart</div>","",""
"528","친절하다","to be kind, considerate","親切",""
"529","그러니까","therefore, consequently","",""
"530","예","example;<div>yes</div>","例",""
"531","내려오다","to come down, get off","",""
"532","설탕","sugar","雪糖·屑糖"," food "
"533","아마","probably, maybe","",""
"534","졸업하다","to graduate","卒業",""
"535","이곳","this place, here","",""
"536","수건","towel","手巾",""
"537","차갑다","to be cold (regarding objects)","",""
"538","약","drug, medicine;<br>approximately","藥,&nbsp;約",""
"539","아래","under","",""
"540","건강","health","健康",""
"541","그리다","to draw a picture","",""
"542","개월","months (count.)","個月",""
"543","언제나","always;<div>usually</div>","",""
"544","빨갛다","to be red",""," color "
"545","방학","vacation (from school)","放學",""
"546","컵","cup",""," eng "
"547","세우다","to make something stand, erect;<div>to stop, park;</div><div>to set (up)</div>","",""
"548","부산","Busan","釜山",""
"549","그때","then, at that time","",""
"550","사실","fact, truth","事實",""
"551","넓다","to be wide, spacious","",""
"552","휴지","toilet paper, tissue;<div>pause</div>","休紙,&nbsp;休止",""
"553","떡","Korean rice cake",""," food "
"554","출근하다","to go (get) to work","出勤",""
"555","아주","very much","",""
"556","번호","number","番號",""
"557","어떻다","to be the manner in which something is done","",""
"558","기분","mood, feeling","氣分",""
"559","몸","body, figure","",""
"560","내년","next year","來年",""
"561","다녀오다","to go and get back, be back","",""
"562","운동장","field, (school) stadium;<div>playground</div>","運動場",""
"563","아기","baby","",""
"564","위험하다","to be dangerous, risky","危險",""
"565","공","ball","",""
"566","계속","continuously","繼續",""
"567","드리다","to give, offer (hon.)","",""
"568","경찰","police, police officer","警察",""
"569","그릇","bowl, container","",""
"570","떠나다","to leave, depart","",""
"571","식탁","dining table","食卓",""
"572","목","neck;<div>throat</div>","",""
"573","즐겁다","to be pleasant, joyful, cheerful, happy","",""
"574","요일","day of the week","曜日",""
"575","버스","bus",""," eng "
"576","내려가다","to go down","",""
"577","방법","way, method","方法",""
"578","갈비","barbecued spare ribs",""," food "
"579","낮다","to be low","",""
"580","한국말","Korean language","韓國-",""
"581","꼭","certainly, for sure","",""
"582","닦다","to wipe;<div>to polish</div>","",""
"583","기차","train","汽車",""
"584","첫째","first, the foremost","",""
"585","화나다","to be angry, mad","火-",""
"586","손님","guest;<div>customer</div>","",""
"587","근처","nearby","近處",""
"588","가볍다","to be light (as opposed to heavy)","",""
"589","비행기","airplane","飛行機",""
"590","그쪽","that, that way;<div>you</div>","",""
"591","여자친구","girlfriend","女子親舊",""
"592","신다","to put on, wear (footwear)","",""
"593","과자","cookie, snack","菓子"," food "
"594","불","fire;<div>light</div>","",""
"595","오르다","to rise, go up","",""
"596","계절","season","季節",""
"597","나무","tree; wood","",""
"598","똑똑하다","to be smart, bright, intelligent","",""
"599","건물","building","建物",""
"600","게임","game",""," eng "
"601","끄다","to put out, turn off","",""
"602","인기","popularity","人氣",""
"603","코","nose","",""
"604","가져오다","to bring","",""
"605","박물관","museum","博物館",""
"606","지난달","last month","",""
"607","배고프다","to be hungry","",""
"608","교회","church","敎會",""
"609","발","foot","",""
"610","날다","to fly","",""
"611","외국인","foreigner","外國人",""
"612","아니","no, not","",""
"613","잊어버리다","to forget (completely)","",""
"614","야구","baseball","野球",""
"615","못","nail;<div>cannot</div>","",""
"616","행복하다","to be happy","幸福",""
"617","찌개","stew",""," food "
"618","정류장","stop, station (bus etc.)","停留場",""
"619","넣다","to put in, insert","",""
"620","군인","military personnel, soldier","軍人",""
"621","오랜만에","after a long time","",""
"622","연락하다","to contact, keep in touch","連絡",""
"623","바다","sea, ocean","",""
"624","지도","map, chart","地圖",""
"625","파랗다","to be blue",""," color "
"626","간호사","nurse","看護師",""
"627","입","mouth","",""
"628","농담","joke","弄談",""
"629","샤워하다","to take a shower",""," eng "
"630","역사","history","歷史",""
"631","가장","the most (more formal than&nbsp;제일)","",""
"632","조심하다","to be careful, watch out","操心",""
"633","내","my <i>(informal)</i>","",""
"634","양복","suit","洋服",""
"635","귀엽다","to be cute","",""
"636","대학","university","大學",""
"637","잠깐","for a little while","",""
"638","퇴근하다","to go home from work","退勤",""
"639","닭","chicken",""," food "
"640","북쪽","north","北-",""
"641","깎다","to peel, trim, cut;<div>to discount (cut the price)</div>","",""
"642","등산","hiking, mountain climbing","登山",""
"643","어서","please, kindly;<div>quickly</div>","",""
"644","강하다","to be strong, powerful","强",""
"645","젓가락","chopsticks","",""
"646","제주도","Jeju Island","濟州島",""
"647","드시다","to eat, drink (hon.)","",""
"648","해","year;<div>sun;</div><div>harm</div>","害",""
"649","갑자기","suddenly","",""
"650","부탁하다","to request, ask a favor","付託",""
"651","다리","leg;<div>bridge</div>","",""
"652","대화","conversation","對話",""
"653","잘생기다","to look good, be handsome","",""
"654","교과서","textbook","敎科書",""
"655","콜라","coke",""," eng food "
"656","주문하다","to order (smth.)","注文",""
"657","종이","paper","",""
"658","한국어","Korean (language)","韓國語",""
"659","잃다","to lose (something)","",""
"660","반바지","shorts","半--",""
"661","꿈","dream","",""
"662","계란","egg","鷄卵"," food "
"663","궁금하다","to be curious, to wonder","",""
"664","고등학교","high school","高等學校",""
"665","이제","now (after something)","",""
"666","뛰다","to jump;<div>to run, dash</div>","",""
"667","목욕","bath","沐浴",""
"668","곧","soon","",""
"669","보이다","to be visible;<div>to show, display</div>","",""
"670","동쪽","the east","東-",""
"671","자리","<div>room, space, place (for something);</div><div>mat</div>","",""
"672","어리다","to be young, little","",""
"673","경치","scene, scenery","景致",""
"674","낮","daytime","",""
"675","돌아가다","to go back, return;<div>to work, operate</div>","",""
"676","한복","Korean dress (traditional)","韓服",""
"677","소파","sofa",""," eng "
"678","안다","to hug, hold","",""
"679","사탕","candy","砂糖"," food "
"680","옷장","wardrobe, closet","",""
"681","하얗다","to be white",""," color "
"682","댁","house (hon.)","宅",""
"683","저희","we, our","",""
"684","싸우다","to argue, fight","",""
"685","사장","president of a company","社長",""
"686","아무도","no one, nobody","",""
"687","피우다","<div>to smoke;</div>to bloom, blossom;<div>to make a fire</div>","",""
"688","교통","traffic","交通",""
"689","칼","knife;<div>sword</div>","",""
"690","시끄럽다","to be noisy","",""
"691","지하","underground, basement","地下",""
"692","바람","wind, breeze;<div>wish, desire</div>","",""
"693","걸어가다","to walk (somewhere)","",""
"694","세탁기","washing machine","洗濯機",""
"695","슈퍼마켓","supermarket",""," eng "
"696","벌다","to earn (money)","",""
"697","중학교","middle school (junior high)","中學校",""
"698","별","star","",""
"699","맑다","to be clear, clean","",""
"700","주인","owner, employer","主人",""
"701","남자친구","boyfriend","男子親舊",""
"702","묻다","to ask;<div>to stick to, be stained;<br />to bury</div>","",""
"703","유학","studying abroad;<div>Confucianism</div>","留學,&nbsp;儒學",""
"704","자장면","Chinese dish of noodles in black soybean paste",""," food "
"705","장소","place, location","場所",""
"706","불다","to blow","",""
"707","한글","Korean alphabet","",""
"708","장","counter for sheets (of paper or similar material);<div>intestine</div>","張,&nbsp;腸",""
"709","낫다","to be better;<br>to get better, to heal","",""
"710","아주머니","<div>middle aged woman;</div><div>aunt</div>","",""
"711","남녀","men and women","男女",""
"712","말씀하시다","to speak, talk (hon.)","",""
"713","날짜","date (in a calendar)","",""
"714","비밀","secret","秘密",""
"715","믿다","to believe, trust","",""
"716","아파트","apartment",""," eng "
"717","표","ticket;<div>table, diagram;</div><div>mark, sign</div>","票,&nbsp;表",""
"718","더럽다","to be dirty","",""
"719","돼지","pig","",""
"720","중에서","among, between","中-",""
"721","지나다","to pass, go by","",""
"722","소금","salt",""," food "
"723","자신","oneself;<div>self-confidence</div>","自身,&nbsp;自信",""
"724","돌아오다","to come back, return","",""
"725","귀","ear","",""
"726","신호","signal","信號",""
"727","지키다","to defend, protect","",""
"728","어른","adult;<div>one's senior</div>","",""
"729","이상","more than, above;<div>abnormality;</div><div>ideal</div>","以上,&nbsp;異常·異狀,&nbsp;理想",""
"730","흐리다","to be cloudy","",""
"731","문화","culture","文化",""
"732","사실은","in fact","事實-",""
"733","벗다","to take off (clothes)","",""
"734","열쇠","key","",""
"735","권","counter for books","卷",""
"736","잘못되다","to go wrong","",""
"737","러시아","Russia",""," eng "
"738","기억","memory","記憶",""
"739","주무시다","to sleep (hon.)","",""
"740","별로","not particularly","別-",""
"741","남쪽","south","南-",""
"742","마르다","to be dry, become dry;<div>to become thin, lose weight</div>","",""
"743","손가락","finger","",""
"744","한강","Han River","漢江",""
"745","다치다","to get hurt","",""
"746","딸기","strawberry",""," food "
"747","휴지통","trash can, wastebasket","休紙桶",""
"748","지우다","to erase, cross out;<div>to wash off</div>","",""
"749","참","very, really","",""
"750","회의","meeting, conference","會議",""
"751","걸어오다","to come by foot","",""
"752","즐겁게","pleasantly","",""
"753","장미","rose","薔薇",""
"754","노랗다","to be yellow",""," color "
"755","방금","a moment ago","方今",""
"756","경찰서","police station","警察署",""
"757","올라가다","to go up","",""
"758","직장","workplace, job","職場",""
"759","팀","team",""," eng "
"760","변하다","to change","變-",""
"761","왜냐하면","because, since","",""
