"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"19","八つ","eight (things)","八[やっ]つ","Noun","あの 家[いえ]には 時計[とけい]が<b> 八[やっ]つ</b>あります。","あの家には時計が<b>八つ</b>あります。","There are eight clocks in that house."
"20","なる","become","なる","Verb","彼[かれ]は 医者[いしゃ]に<b>なりました</b>。","彼は医者に<b>なりました</b>。","He became a doctor."
"21","九","nine","九[きゅう]","Noun","野球[やきゅう]は<b> 九[きゅう]</b> 人[にん]で 1[ひと]チームです。","野球は<b>九</b>人で1チームです。","In baseball there are nine people on one team."
"22","九つ","nine (things)","九[ここの]つ","Noun","娘[むすめ]は 明日[あす]<b> 九[ここの]つ</b>になります。","娘は明日<b>九つ</b>になります。","My daughter's turning nine tomorrow."
"23","十","ten","十[じゅう]","Noun","その 子[こ]は 指[ゆび]で<b> 十[じゅう]</b> 数[かぞ]えました。","その子は指で<b>十</b>数えました。","The child counted to ten on her fingers."
"24","百","hundred","百[ひゃく]","Noun","私[わたし]の 祖母[そぼ]は<b> 百[ひゃく]</b> 才[さい]です。","私の祖母は<b>百</b>才です。","My grandmother is 100 years old."
"25","千","thousand","千[せん]","Noun","<b> 千[せん]</b> 円貸[えん か]してください。","<b>千</b>円貸してください。","Please lend me 1000 yen."
"26","万","ten thousand","万[まん]","Noun","この 靴[くつ]は 1[いち]<b> 万[まん]</b> 円[えん]です。","この靴は1<b>万</b>円です。","These shoes are ten thousand yen."
"27","円","circle","円[えん]","Noun","そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。","そこに大きな<b>円</b>を描いて。","Draw a big circle there."
"28","円","yen","円[えん]","Noun","カレーライスは 700[ななひゃく]<b> 円[えん]</b>です。","カレーライスは700<b>円</b>です。","The curry and rice is 700 yen."
"29","時","time","時[とき]","Noun","<b> 時[とき]</b>の 経[た]つのは 早[はや]い。","<b>時</b>の経つのは早い。","Time passes by quickly."
"30","する","do, make","する","Verb","友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。","友達と一緒に宿題を<b>した</b>。","I did my homework with a friend."
"31","時々","sometimes","時々[ときどき]","Adverb","彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。","彼は<b>時々</b>遅刻します。","He's sometimes late."
"32","日","day","日[にち]","Noun","私[わたし]たちは 先月11[せんげつ じゅういち]<b> 日[にち]</b>に 結婚[けっこん]しました。","私たちは先月11<b>日</b>に結婚しました。","We got married last month on the 11th."
"33","六日","six days, 6th of the month","六日[むいか]","Noun","<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。","<b>六日</b>前に日本に帰ってきました。","I came back to Japan six days ago."
"34","三日","three days, 3rd of the month","三日[みっか]","Noun","手紙[てがみ]が 届[とど]くのに<b> 三日[みっか]</b>かかりました。","手紙が届くのに<b>三日</b>かかりました。","It took three days for the letter to arrive."
"35","五日","five days, 5th of the month","五日[いつか]","Noun","五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です","五月<b>五日</b>は祝日です","May 5th is a holiday."
"36","八日","eight days, 8th of the month","八日[ようか]","Noun","<b> 八日[ようか]</b>からイギリスに 行[い]きます。","<b>八日</b>からイギリスに行きます。","I go to England on the eighth."
"37","二十日","20 days, 20th of the month","二十日[はつか]","Noun","来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。","来月の<b>二十日</b>は弟の誕生日です。","The 20th of next month is my little brother's birthday."
"38","二日","two days, 2nd of the month","二日[ふつか]","Noun","私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。","私は<b>二日</b>待った。","I waited two days."
"39","九日","nine days, 9th of the month","九日[ここのか]","Noun","<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。","<b>九日</b>に荷物が届きます。","The package will arrive on the ninth."
"40","ところ","place","ところ","Noun","私[わたし]は 友達[ともだち]の<b>ところ</b>に 泊[と]まった。","私は友達の<b>ところ</b>に泊まった。","I stayed at my friend's place for the night."
"41","一日","1st of the month","一日[ついたち]","Noun","来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。","来月の<b>一日</b>は空いていますか。","Are you free on the 1st of next month?"
"42","十日","ten days, 10th of the month","十日[とおか]","Noun","<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。","<b>十日</b>後に帰ります。","I'll come home in ten days."
"43","七日","seven days, 7th of the month","七日[なのか]","Noun","先月[せんげつ]の<b> 七日[なのか]</b>に 孫[まご]が 生[う]まれました。","先月の<b>七日</b>に孫が生まれました。","My grandchild was born on the seventh of last month."
"44","四日","four days, 4th of the month","四日[よっか]","Noun","新学期[しんがっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。","新学期は来月の<b>四日</b>からです。","The new school term starts on the fourth of next month."
"45","月","moon","月[つき]","Noun","今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。","今夜は<b>月</b>がとてもきれいです。","The moon looks so beautiful tonight."
"46","水","water","水[みず]","Noun","<b> 水[みず]</b>を 一杯[いっぱい]ください。","<b>水</b>を一杯ください。","Please give me a glass of water."
"47","金","money","金[かね]","Noun","これはかなり<b> 金[かね]</b>がかかった。","これはかなり<b>金</b>がかかった。","This cost quite a bit of money."
"48","日曜日","Sunday","日曜日[にちようび]","Noun","<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。","<b>日曜日</b>は海に行きました。","We went to the seaside on Sunday."
"49","土曜日","Saturday","土曜日[どようび]","Noun","<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。","<b>土曜日</b>の夜はクラブに行きます。","I'm going to a club Saturday night."
"50","やる","do","やる","Verb","一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。","一緒に宿題を<b>やろう</b>。","Let's do our homework together."
"51","金曜日","Friday","金曜日[きんようび]","Noun","<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。","<b>金曜日</b>の夜は友達と出かけます。","I go out with my friends on Friday nights."
"52","月曜日","Monday","月曜日[げつようび]","Noun","<b> 月曜日[げつようび]</b>に 会[あ]いましょう。","<b>月曜日</b>に会いましょう。","Let's meet on Monday."
"53","木曜日","Thursday","木曜日[もくようび]","Noun","<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。","<b>木曜日</b>は仕事が休みです。","Thursday is my day off work."
"54","曜日","day of the week","曜日[ようび]","Noun","<b> 曜日[ようび]</b>を 間違[まちが]えました。","<b>曜日</b>を間違えました。","I got the day of the week wrong."
"55","火曜日","Tuesday","火曜日[かようび]","Noun","<b> 火曜日[かようび]</b>に 会議[かいぎ]があります。","<b>火曜日</b>に会議があります。","There's a meeting on Tuesday."
"56","水曜日","Wednesday","水曜日[すいようび]","Noun","<b> 水曜日[すいようび]</b>はバイトがあります。","<b>水曜日</b>はバイトがあります。","I have a part-time job on Wednesdays."
"57","週","week","週[しゅう]","Noun","その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。","その次の<b>週</b>は空いてますか。","Are you free the following week?"
"58","年","year, age","年[とし]","Noun","新[あたら]しい<b> 年[とし]</b>が 始[はじ]まりました。","新しい<b>年</b>が始まりました。","A new year has started."
"59","分かる","understand","分[わ]かる","Verb","質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。","質問の意味は<b>分かりました</b>か。","Did you understand the meaning of the question?"
"60","そう","in such manner, that way","そう","Adverb","私[わたし]も<b>そう</b> 思[おも]います。","私も<b>そう</b>思います。","That's what I think too."
"61","何","what, which","何[なに]","Noun","夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。","夕食には<b>何</b>を食べたいですか。","What would you like for supper?"
"62","先","ahead, first","先[さき]","Noun","お<b> 先[さき]</b>にどうぞ。","お<b>先</b>にどうぞ。","Please go ahead."
"63","今年","this year","今年[ことし]","Noun","<b> 今年[ことし]</b>はイタリアに 旅行[りょこう]したい。","<b>今年</b>はイタリアに旅行したい。","I want to travel to Italy this year."
"64","今","now","今[いま]","Adverb","彼[かれ]は<b> 今[いま]</b>、 勉強[べんきょう]しています。","彼は<b>今</b>、勉強しています。","He's studying now."
"65","今日","today","今日[きょう]","Noun","<b> 今日[きょう]</b>は 仕事[しごと]がありません。","<b>今日</b>は仕事がありません。","I have no work today."
"66","今月","this month","今月[こんげつ]","Noun","<b> 今月[こんげつ]</b>はとても 忙[いそが]しい。","<b>今月</b>はとても忙しい。","I'm very busy this month."
"67","今週","this week","今週[こんしゅう]","Noun","<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。","<b>今週</b>は日本語のテストがあります。","There's a Japanese test this week."
"68","来る","come","来[く]る","Verb","彼[かれ]は 昼過[ひるす]ぎに<b> 来[き]ます</b>。","彼は昼過ぎに<b>来ます</b>。","He'll come after lunch."
"69","来年","next year","来年[らいねん]","Noun","<b> 来年[らいねん]</b> 一緒[いっしょ]に 旅行[りょこう]しましょう。","<b>来年</b>一緒に旅行しましょう。","Let's travel together next year."
"70","もう","already, yet","もう","Adverb","彼[かれ]は<b>もう</b> 帰[かえ]りました。","彼は<b>もう</b>帰りました。","He's already gone home."
"71","行く","go","行[い]く","Verb","日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。","日曜日は図書館に<b>行きます</b>。","I go to the library on Sundays."
"72","帰る","return, go back","帰[かえ]る","Verb","家[うち]に<b> 帰[かえ]ろう</b>。","家に<b>帰ろう</b>。","Let's go home."
"73","大きい","big","大[おお]きい","Adjective","あの<b> 大[おお]きい</b> 建物[たてもの]は 何[なん]ですか。","あの<b>大きい</b>建物は何ですか。","What's that big building?"
"74","小さい","small","小[ちい]さい","Adjective","<b> 小[ちい]さい</b> 花[はな]が 咲[さ]いています。","<b>小さい</b>花が咲いています。","Small flowers are blooming."
"75","少ない","few, little","少[すく]ない","Adjective","今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。","今年は雨が<b>少ない</b>です。","There's not much rain this year."
"76","少し","a little, a little while (polite)","少[すこ]し","Adverb","<b> 少[すこ]し</b> 疲[つか]れました。","<b>少し</b>疲れました。","I'm a little tired."
"77","多い","lots of","多[おお]い","Adjective","京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。","京都にはお寺が<b>多い</b>。","There are a lot of temples in Kyoto."
"78","多分","probably, perhaps","多分[たぶん]","Adverb","彼女[かのじょ]は<b> 多分[たぶん]</b> 家[いえ]で 寝[ね]ています。","彼女は<b>多分</b>家で寝ています。","She's probably sleeping at home."
"79","上げる","raise, improve","上[あ]げる","Verb","彼[かれ]は 荷物[にもつ]をあみだなに<b> 上[あ]げた</b>。","彼は荷物をあみだなに<b>上げた</b>。","He put the luggage on the luggage rack."
"80","よく","often","よく","Adverb","彼女[かのじょ]は<b>よく</b> 旅行[りょこう]に 行[い]きます。","彼女は<b>よく</b>旅行に行きます。","She often goes on holiday."
"81","上る","go up, climb up","上[のぼ]る","Verb","猫[ねこ]が 屋根[やね]に<b> 上[のぼ]っている</b>。","猫が屋根に<b>上っている</b>。","The cat's up on the roof."
"82","上","up, above","上[うえ]","Noun","<b> 上[うえ]</b>を 向[む]いて。","<b>上</b>を向いて。","Look up."
"83","下","under, below","下[した]","Noun","財布[さいふ]は 机[つくえ]の<b> 下[した]</b>にあった。","財布は机の<b>下</b>にあった。","My purse was under the desk."
"84","右","right","右[みぎ]","Noun","<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。","<b>右</b>のポケットにハンカチが入っています。","There's a handkerchief in my right pocket."
"85","左","left","左[ひだり]","Noun","そこを<b> 左[ひだり]</b>に 曲[ま]がってください。","そこを<b>左</b>に曲がってください。","Please turn left there."
"86","方","direction, side","方[ほう]","Noun","彼[かれ]は 私[わたし]の<b> 方[ほう]</b>を 見[み]ました。","彼は私の<b>方</b>を見ました。","He looked at me."
"87","大人","adult","大人[おとな]","Noun","お 酒[さけ]は<b> 大人[おとな]</b>になってから。","お酒は<b>大人</b>になってから。","You can drink alcohol when you're an adult."
"88","人","person","人[ひと]","Noun","彼[かれ]は 優[やさ]しい<b> 人[ひと]</b>です。","彼は優しい<b>人</b>です。","He's a nice guy."
"89","一人","one, one person","一人[ひとり]","Noun","そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。","そこには私<b>一人</b>しかいなかった。","I was the only one there."
"90","どう","how, what","どう","Adverb","あなたは<b>どう</b> 思[おも]いますか。","あなたは<b>どう</b>思いますか。","What do you think?"
"91","入れる","put in","入[い]れる","Verb","彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。","彼はかばんに手帳を<b>入れた</b>。","He put the appointment book in his bag."
"92","入る","enter","入[はい]る","Verb","寒[さむ]いので 中[なか]に<b> 入[はい]って</b>ください。","寒いので中に<b>入って</b>ください。","It's cold so please come inside."
"93","出る","go out, leave","出[で]る","Verb","今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。","今朝は早く家を<b>出ました</b>。","I left the house early this morning."
"94","できる","can do, be good at","できる","Verb","彼女[かのじょ]はイタリア 語[ご]が<b> できます</b>。","彼女はイタリア語が<b>出来ます</b>。","She knows Italian."
"95","出す","take out, turn in","出[だ]す","Verb","彼[かれ]はかばんから 教科書[きょうかしょ]を<b> 出[だ]した</b>。","彼はかばんから教科書を<b>出した</b>。","He took the textbook out of his bag."
"96","本","book, volume","本[ほん]","Noun","<b> 本[ほん]</b>を １冊買[いっさつ か]いました。","<b>本</b>を１冊買いました。","I bought one book."
"97","休む","take a day off, take a break","休[やす]む","Verb","明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。","明日、会社を<b>休みます</b>。","I'm off work tomorrow."
"98","体","body, health","体[からだ]","Noun","私[わたし]は<b> 体[からだ]</b>が 丈夫[じょうぶ]だ。","私は<b>体</b>が丈夫だ。","I'm physically strong."
"99","目","eye","目[め]","Noun","彼女[かのじょ]は 青[あお]い<b> 目[め]</b>をしています。","彼女は青い<b>目</b>をしています。","She has blue eyes."
"100","どこ","where","どこ","Noun","あの 本[ほん]を<b>どこ</b>に 置[お]きましたか。","あの本を<b>どこ</b>に置きましたか。","Where did you put that book?"
"101","口","mouth","口[くち]","Noun","<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。","<b>口</b>を大きく開けてください。","Open wide, please."
"102","耳","ear, hearing","耳[みみ]","Noun","彼女[かのじょ]は<b> 耳[みみ]</b>がよく 聞[き]こえません。","彼女は<b>耳</b>がよく聞こえません。","Her hearing isn't very good."
"103","上手","skilled,&nbsp;good","上手[じょうず]","Adjectival Noun","妹[いもうと]は 歌[うた]が<b> 上手[じょうず]</b>です。","妹は歌が<b>上手</b>です。","My little sister can sing."
"104","手","hand","手[て]","Noun","分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。","分かった人は<b>手</b>を上げてください。","Please raise your hand if you understand."
"105","足","leg, foot","足[あし]","Noun","彼[かれ]は<b> 足[あし]</b>が 長[なが]い。","彼は<b>足</b>が長い。","He has long legs."
"106","空く","become empty, become less crowded","空[す]く","Verb","レストランは<b> 空[す]いていました</b>。","レストランは<b>空いていました</b>。","The restaurant was empty."
"107","男","man, male","男[おとこ]","Noun","<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。","<b>男</b>の人が私たちに話しかけた。","This guy began talking to us."
"108","女","woman, girl","女[おんな]","Noun","店員[てんいん]は 若[わか]い<b> 女[おんな]</b>の 人[ひと]でした。","店員は若い<b>女</b>の人でした。","The salesclerk was a young woman."
"109","子供","child, kid","子供[こども]","Noun","電車[でんしゃ]で<b> 子供[こども]</b>が 騒[さわ]いでいた。","電車で<b>子供</b>が騒いでいた。","Kids were making a racket in the train."
"110","あげる","give","あげる","Verb","この 本[ほん]、あなたに<b>あげます</b>。","この本、あなたに<b>あげます</b>。","I'll give you this book."
"111","好き","favorite, liked","好[す]き","Adjectival Noun","私[わたし]はワインが<b> 好[す]き</b>です。","私はワインが<b>好き</b>です。","I like wine."
"112","大好き","love","大好[だいす]き","Adjective","私[わたし]は 犬[いぬ]が<b> 大好[だいす]き</b>だ。","私は犬が<b>大好き</b>だ。","I love dogs."
"113","私","I","私[わたし]","Noun","<b> 私[わたし]</b>が 行[い]きましょう。","<b>私</b>が行きましょう。","Why don't I go."
"114","友達","friend, companion","友達[ともだち]","Noun","私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。","私には<b>友達</b>がたくさんいます。","I have a lot of friends."
"115","家","house, home, my family","家[うち]","Noun","<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。","<b>家</b>に遊びに来てください。","Please come over to my house."
"116","気","spirit, temperament","気[き]","Noun","彼[かれ]は 意外[いがい]に<b> 気[き]</b>が 小[ちい]さい。","彼は意外に<b>気</b>が小さい。","He's unexpectedly timid."
"117","元気","healthy, energetic","元気[げんき]","Adjective","おかげさまで<b> 元気[げんき]</b>です。","おかげさまで<b>元気</b>です。","I'm fine, thank you."
"118","天気","weather","天気[てんき]","Noun","今日[きょう]はいい<b> 天気[てんき]</b>ですね。","今日はいい<b>天気</b>ですね。","It's nice out today."
"119","晴れる","be sunny, clear up","晴[は]れる","Verb","明日[あした]は<b> 晴[は]れる</b>といいですね。","明日は<b>晴れる</b>といいですね。","I hope it'll be sunny tomorrow."
"120","こう","like this, this kind of","こう","Adverb","<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。","<b>こう</b>小さい字は読めない。","I can't read such small letters."
"121","昨日","yesterday","昨日[きのう]","Noun","<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。","<b>昨日</b>、友達に会った。","I met a friend yesterday."
"122","開ける","open, unlock","開[あ]ける","Verb","窓[まど]を<b> 開[あ]けて</b>ください。","窓を<b>開けて</b>ください。","Please open the window."
"123","開く","open を/が","開[ひら]く","Verb","32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。","32ページを<b>開いて</b>ください。","Please open to page 32."
"124","閉じる","close (book, eyes, etc.)","閉[と]じる","Verb","教科書[きょうかしょ]を<b> 閉[と]じて</b>ください。","教科書を<b>閉じて</b>ください。","Please close your textbooks."
"125","閉める","shut, close","閉[し]める","Verb","ちゃんとドアを<b> 閉[し]めて</b>よ。","ちゃんとドアを<b>閉めて</b>よ。","Close the door properly."
"126","閉まる","be shut, be closed","閉[し]まる","Verb","お 店[みせ]はもう<b> 閉[し]まっていました</b>。","お店はもう<b>閉まっていました</b>。","The shop had already closed."
"127","聞く","hear, ask","聞[き]く","Verb","彼女[かのじょ]はラジオを<b> 聞[き]いています</b>。","彼女はラジオを<b>聞いています</b>。","She's listening to the radio."
"128","時間","time, hour","時間[じかん]","Noun","今[いま]は<b> 時間[じかん]</b>がありません。","今は<b>時間</b>がありません。","I don't have time now."
"129","高い","high, tall","高[たか]い","Adjective","これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。","これがこの町で一番<b>高い</b>ビルです。","This is the tallest building in town."
"130","くれる","give (to me)","くれる","Verb","友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>くれた</b>。","友達が誕生日プレゼントを<b>くれた</b>。","My friend gave me a birthday present."
"131","安い","inexpensive, cheap","安[やす]い","Adjective","この 服[ふく]はとても<b> 安[やす]かった</b>。","この服はとても<b>安かった</b>。","These clothes were very cheap."
"132","低い","low, short","低[ひく]い","Adjective","彼[かれ]は 背[せ]が<b> 低[ひく]い</b>。","彼は背が<b>低い</b>。","He's short."
"133","前","front, before","前[まえ]","Noun","その 店[みせ]の<b> 前[まえ]</b>で 会[あ]いましょう。","その店の<b>前</b>で会いましょう。","Let's meet in front of the shop."
"134","後","after","後[あと]","Adverb","仕事[しごと]の<b> 後[あと]</b>、 映画[えいが]を 見[み]た。","仕事の<b>後</b>、映画を見た。","I saw a movie after work."
"135","後ろ","back, behind","後[うし]ろ","Noun","<b> 後[うし]ろ</b>を 向[む]いて。","<b>後ろ</b>を向いて。","Turn around."
"136","午後","afternoon, p.m.","午後[ごご]","Noun","明日[あす]の<b> 午後[ごご]</b>、お 客様[きゃくさま]が 来[く]る。","明日の<b>午後</b>、お客様が来る。","A guest is coming to visit tomorrow afternoon."
"137","午前","morning, a.m.","午前[ごぜん]","Noun","<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。","<b>午前</b>9時のニュースです。","And now for the 9.00 a.m. news."
"138","朝","morning","朝[あさ]","Noun","気持[きも]ちのいい<b> 朝[あさ]</b>です。","気持ちのいい<b>朝</b>です。","It's a pleasant morning."
"139","昼","daytime, midday, lunch","昼[ひる]","Noun","私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。","私は<b>昼</b>のドラマを毎日見ます。","I watch daytime dramas every day."
"140","かなり","fairly, rather","かなり","Adverb","彼[かれ]は<b>かなり</b> 英語[えいご]が 上手[じょうず]です。","彼は<b>かなり</b>英語が上手です。","He's pretty good at English."
"141","晩","evening (usually from sunset to bedtime)","晩[ばん]","Noun","<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。","<b>晩</b>ご飯は食べましたか。","Have you had dinner?"
"142","今晩","this evening, tonight","今晩[こんばん]","Noun","<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。","<b>今晩</b>のパーティーは何時からですか。","From what time is the party tonight?"
"143","夜","night (from sunset to sunrise)","夜[よる]","Noun","きのうの<b> 夜[よる]</b>は 家[いえ]にいました。","きのうの<b>夜</b>は家にいました。","I was at home last night."
"144","食べる","eat","食[た]べる","Verb","昨日[きのう]タイカレーを<b> 食[た]べました</b>。","昨日タイカレーを<b>食べました</b>。","I had Thai curry yesterday."
"145","飲む","drink","飲[の]む","Verb","友達[ともだち]とお 酒[さけ]を<b> 飲[の]んでいます</b>。","友達とお酒を<b>飲んでいます</b>。","I'm drinking sake with a friend."
"146","ご飯","cooked rice, meal","ご 飯[はん]","Noun","私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。","私はパンより<b>ご飯</b>が好きだ。","I prefer rice to bread."
"147","買う","buy","買[か]う","Verb","郵便局[ゆうびんきょく]で 切手[きって]を<b> 買[か]いました</b>。","郵便局で切手を<b>買いました</b>。","I bought a stamp at the post office."
"148","見る","see, look at","見[み]る","Verb","私[わたし]は 絵[え]を<b> 見[み]る</b>のが 好[す]きです。","私は絵を<b>見る</b>のが好きです。","I like looking at pictures."
"149","見せる","show","見[み]せる","Verb","その 写真[しゃしん]を<b> 見[み]せて</b>ください。","その写真を<b>見せて</b>ください。","Please show me those pictures."
"150","もっと","more","もっと","Adverb","<b>もっと</b> 近[ちか]くに 来[き]てください。","<b>もっと</b>近くに来てください。","Please come closer."
"151","見つける","find (something)","見[み]つける","Verb","新[あたら]しい 仕事[しごと]を<b> 見[み]つけました</b>。","新しい仕事を<b>見つけました</b>。","I found a new job."
"152","見える","be visible","見[み]える","Verb","ここから 富士山[ふじさん]がよく<b> 見[み]えます</b>。","ここから富士山がよく<b>見えます</b>。","You can see Mount Fuji well from here."
"153","見つかる","be found, be caught","見[み]つかる","Verb","メガネが<b> 見[み]つかりません</b>。","メガネが<b>見つかりません</b>。","I can't find my glasses."
"154","言う","say, tell","言[い]う","Verb","上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b> 言[い]った</b>。","上司が「一杯、飲もう。」と<b>言った</b>。","""My boss said: """"Let's have a drink."""""""
"155","話す","speak, tell","話[はな]す","Verb","母[はは]と 電話[でんわ]で<b> 話[はな]しました</b>。","母と電話で<b>話しました</b>。","I spoke to my mother on the phone."
"156","読む","read","読[よ]む","Verb","彼女[かのじょ]は 雑誌[ざっし]を<b> 読[よ]んでいます</b>。","彼女は雑誌を<b>読んでいます</b>。","She's reading the magazine."
"157","漢字","Chinese character","漢字[かんじ]","Noun","<b> 漢字[かんじ]</b>は 中国[ちゅうごく]から 来[き]ました。","<b>漢字</b>は中国から来ました。","Kanji came from China."
"158","書く","write","書[か]く","Verb","彼[かれ]に 手紙[てがみ]を<b> 書[か]きました</b>。","彼に手紙を<b>書きました</b>。","I wrote him a letter."
"159","覚える","memorize, learn","覚[おぼ]える","Verb","妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]<b> 覚[おぼ]えました</b>。","妹は平仮名を全部<b>覚えました</b>。","My little sister learned all the hiragana."
"160","そこ","there","そこ","Pronoun","<b>そこ</b>に 座[すわ]ってください。","<b>そこ</b>に座ってください。","Please sit there."
"161","会う","meet","会[あ]う","Verb","また<b> 会[あ]いましょう</b>。","また<b>会いましょう</b>。","Let's meet again."
"162","仕事","work, job","仕事[しごと]","Noun","3月[さんがつ]は<b> 仕事[しごと]</b>が 忙[いそが]しい。","3月は<b>仕事</b>が忙しい。","I have a lot of work in March."
