"index","word","meaning"
"49","Estaba registrándose en la universidad cuando la vi.","She was enrolling in the university when I saw her."
"50","Me registré para votar.","I registered to vote."
"51","¡A mí que me registren!","Search me! (I have nothing to hide.)"
"52","disponer","to place, to make use"
"53","Marina estaba disponiendo de sus ahorros para ayudar a su amiga.","Marina was making use of her savings to help her friend."
"54","La delegación estaba dispuesta a recibir las medallas.","The delegation was ready to accept the medals."
"55","Ellas se dispusieron a trotar en la competencia.","They got ready to go jogging in the competition."
"56","construir","to construct, to build"
"57","El puente Golden Gate fue construido en 1937.","The Golden Gate Bridge was built in 1937."
"58","Los estudiantes están construyendo un futuro mejor para ellos.","The students are building a better future for themselves."
"59","¿Habrá construido la casa el constructor?","I wonder if the builder has built the house yet."
"60","ir","to go"
"61","Vamos a la playa esta tarde.","We are going to the beach this afternoon."
"62","Íbamos al museo pero al final no fuimos.","We were going to the museum but in the end we didn't go."
"63","Ya hemos ido allí y por eso no quiero ir de nuevo.","We have gone there already and that's why I don't want to go again."
"64","Aunque hayas ido muchas veces ve con tus amigos ahora.","Although you have gone many times, go with your friends now."
"65","Hizo un viaje de ida y vuelta.","He took a round trip."
"66","¡Vaya con Dios!","Go with God!"
"67","¿Cómo te va?","How is it going?"
"68","ganar","to win, to earn, to gain"
"69","Hemos ganado dos mil dólares.","We have won two thousand dollars."
"70","Hubiésemos ganado la carrera si nos hubiéramos preparado mejor.","We would have won the race if we had prepared better."
"71","Aunque no ganemos nada en Las Vegas nos habremos divertido.","Even if we don't win anything in Las Vegas we will have had fun."
"72","Los recién casados se ganaron el gordo.","The newlyweds won the lottery."
"73","trabajar","to work"
"74","Todos trabajábamos en la misma oficina.","We all worked in the same office."
"75","Es importante que ella trabaje en su tesis.","It is important that she work on her dissertation."
"76","Trabajemos para tener un planeta sin contaminación.","Let's work for a clean planet."
"77","Si tú trabajaras más horas podrías ahorrar dinero.","If you worked more hours you would be able to save money."
"78","Hay que trabajar para lograr el éxito.","One must work hard to reach success."
"79","colgar","to hang up, to suspend"
"80","Marcos siempre cuelga su ropa.","Mark always hangs up his clothing."
"81","Los pescadores hubieran colgado la red pero hacía mucho viento.","The fishermen would have hung up the net but it was too windy."
"82","Colgaré los cuadros esta tarde.","I will hang up the pictures this afternoon."
"83","¡No cuelgues por favor!","Don't hang up the telephone please!"
"84","¡Le colgaron el muerto!","They passed the buck to him!"
"85","atraer","to attract, to allure, to charm"
"86","Las flores atraen a los pájaros con su néctar.","The flowers attract the birds with their nectar."
"87","Los hombres guapos siempre han atraído a las mujeres.","The handsome men have always attracted women."
"88","El imán atrae a las limaduras de hierro.","The magnet attracts the iron filings."
"89","tachar","to cross out, to cross off, to eliminate"
"90","Taché los nombres de las personas que no quieren ir.","I crossed out the names of the people who don't want to go."
"91","Tachen los problemas cuatro y cinco.","Eliminate problems four and five."
"92","El jugador fue tachado de la lista de jugadores.","The player was crossed off the players' list."
"93","Es hora de que tache varios nombres del directorio telefónico.","It is time that I eliminate some names from the address book."
"94","avisar","to inform, to advise, to warn"
"95","Me avisarán mañana si van a venir.","They will inform me tomorrow if they are coming."
"96","Mis padres quieren que les avise cuando voy a llegar tarde.","My parents want me to inform them when I am coming late."
"97","Nos avisaron de las tormentas esta noche.","They warned us of storms tonight."
"98","perdonar","to pardon, to forgive, to excuse"
"99","El criminal fue perdonado justo antes de la ejecución.","The criminal was pardoned just before the execution."
"100","Perdonemos a los que nos hacen mal.","Let's forgive those who harm us."
"101","Le perdonaron la falta al estudiante porque estaba enfermo.","They excused the student's absence because he was sick."
"102","Perdone Usted.","Excuse me! / Pardon me!"
"103","Perdone la molestia.","Excuse me (for bothering you)."
"104","renunciar","to renounce, to resign from, to give up, to waive"
"105","Los estudiantes renunciaron al uso de las drogas.","The students renounced the use of drugs."
"106","No renunciaré al cargo aunque me lo pidan.","I will not resign from my job even if they were to ask me."
"107","El presidente de la compañía ha renunciado a su posición.","The president of the company has resigned from his position."
"108","Los empleados habrían renunciado si no hubiésemos llegado a un acuerdo.","The employees would have resigned if we had not reached an agreement."
"109","prevenir","to warn, to prevent, to get ready, to prepare"
"110","Los previnieron de la tormenta que se avecinaba.","They were warned of the storm that was coming."
"111","Creo que nos hemos prevenido con suficiente alimentos.","I think we have prepared ourselves with enough food."
"112","Ellos se están previniendo para el viaje a la selva.","They are taking all the necessary precautions for their trip to the jungle."
"113","No había prevenido tantos gastos.","I had not prepared myself for all these expenses."
"114","Más vale prevenir que lamentar.","An ounce of prevention is worth a pound of cure."
"115","Hombre prevenido vale por dos.","Forewarned is forearmed."
"116","juzgar","to judge, to pass a judgment on"
"117","Los jueces juzgaron en favor de la candidata de Colombia.","The judges judged in favor of Miss Colombia."
"118","El juez ha juzgado a los criminales severamente.","The judge has judged the criminal severely."
"119","No juzguen sin saber toda la verdad.","Do not pass judgment without knowing the whole truth."
"120","La habían juzgado injustamente.","She had been judged unjustly."
"121","entretenerse","to amuse or entertain oneself"
"122","Me entretenía ver el vaivén de las olas.","It amused me to see the waves coming and going."
"123","Si los niños se entretuviesen por unos minutos podría tomar una siesta.","If the children would entertain themselves for a few minutes I could take a nap."
"124","Nos habíamos entretenido viendo las maniobras de los aviones.","We had amused ourselves by watching the maneuvers of the planes."
"125","El comediante entretuvo al público con sus chistes.","The comedian entertained the audience with his jokes."
"126","servir","to serve, to wait on, to be suitable (useful)"
"127","¿En qué puedo servirles?","What can I do for you? / May I help you?"
"128","¿Qué servirías tú en la fiesta?","What would you serve at the party?"
"129","Si sirvieras en el ejército podrías estudiar en la universidad.","If you were to serve in the military you could study at the university."
"130","Tu hija sirve para este trabajo.","Your daughter is suitable for this job."
"131","Las tijeras nuevas no sirvieron para nada.","The new scissors were useless."
"132","practicar","to practice"
"133","Alfredo practicaba básquetbol todos los días.","Alfred used to practice basketball every day."
"134","Practiqué karate esta mañana.","I practiced karate this morning."
"135","¡Ojalá que Paola practique la trompeta en su cuarto!","I hope Paola practices the trumpet in her bedroom."
"136","Ella estuvo practicando toda la tarde.","She was practicing all afternoon."
"137","excluir","to exclude, to expell"
"138","Mis amigos querían que yo excluyera del grupo a Bonita.","My friends wanted me to exclude Bonita from our group."
"139","Si la hubiésemos excluido me habría sentido muy mal.","If we had excluded her I would have felt very bad."
"140","Lo excluyeron del proyecto.","They expelled him from the project."
"141","untar","to smear, to spread, to apply"
"142","¡Úntale la mantequilla al pan por favor!","Spread the butter on the bread please!"
"143","¿Untaste los bocadillos con queso crema?","Did you spread the cream cheese on the appetizers?"
"144","La mamá le untaba la loción al bebé.","The mother was applying the lotion on the baby."
"145","Ricardo se untó la cera en la cara.","Richard smeared his face with wax."
"146","Ellos le untarían la mano al agente de aduana pero es un delito.","They would bribe the customs agent but it is a felony."
"147","buscar","to seek, to look for"
"148","Ella estaba buscando su anillo de perlas.","She was looking for her pearl ring."
"149","Hubiésemos buscado el libro pero no tuvimos tiempo.","We would have looked for the book but we didn't have time."
"150","Los padres estaban buscando a la niña perdida.","The parents were looking for their lost girl."
"151","abatir","to knock (cut) down, to overthrow, to be discouraged"
"152","Los protestantes están abatiendo al gobierno.","The protesters are overthrowing the government."
"153","La granizada abatió los árboles.","The hailstorm cut down the trees."
"154","El niño está abatido por la enfermedad.","The little boy is discouraged because of his illness."
"155","Están abatiendo los árboles de los bosques.","They are cutting down the trees of the forests."
"156","asustarse","to be scared, to be frightened"
"157","El niño se asustó cuando vio al perro.","The boy was scared when he saw the dog."
"158","Nos hemos asustado por nada.","We have gotten scared for nothing."
"159","Era el gato maullando.","It was the cat howling."
"160","Yo asusto a mi hermanita cuando estamos jugando.","I scare my little sister when we are playing."
"161","Ya la había asustado cuando mi mamá me vio.","I had already frightened her when my mom saw me."
"162","acusar","to accuse"
"163","Lo acusaron de robar el banco.","They accused him of robbing the bank."
"164","La están acusando de haber robado las joyas.","They are accusing her of stealing the jewelry."
"165","Se robaron unas pinturas en el museo y acusan al guardia.","Some paintings were stolen from the museum and they accused the guard."
"166","Han acusado al joven sin pruebas.","They have accused the young man without proof."
"167","lograr","to achieve"
"168","Alicia logró su meta de viajar a Europa.","Alice reached her goal of traveling to Europe."
"169","Dudo que tú lo logres.","I doubt that you can achieve it."
"170","Si lograran la libertad de prensa lograrían publicar estos libros.","If they were to achieve the freedom of the press they would be able to publish these books."
"171","Siempre logro las metas que me pongo.","I always achieve the goals that I set for myself."
"172","criar","to raise, to bring up, to breed, to create"
"173","Ellas se han criado en un hogar con amor.","They have been raised in a home with love."
"174","¿Quién creó esa idea tan genial?","Who created that ingenious idea?"
"175","Ellos criaban gallinas en su hacienda.","They used to raise hens in their ranch."
"176","¿Estaba criando ella diez niños huérfanos?","Was she raising ten orphan children?"
"177","Dios los cría y ellos se juntan.","Birds of a feather flock together."
"178","freír","to fry"
"179","Mi papá freía pescado todos los sábados.","My father used to fry fish every Saturday."
"180","Cuando me despertaba ya el pescado estaba frito.","When I woke up the fish was already fried."
"181","Ella estaba friendo papas para la cena.","She was frying potatoes for dinner."
"182","Él ha frito muchos vegetales.","He has fried many vegetables."
"183","¡No coman alimentos fritos!","Don't eat fried food!"
"184","¡El candidato ya está frito con lo que dijo!","The candidate's campaign is over because of what he said!"
"185","reñir","to fight, to quarrel, to scold"
"186","Los niños estaban riñendo por los juguetes.","The children were fighting for the toys."
"187","¡Ojalá que no riñesen tanto!","I wish they wouldn't fight so much!"
"188","La pareja ha reñido por una tontería.","The couple has quarreled over a silly thing."
"189","Nunca riñas con tu mejor amiga.","Never quarrel with your best friend."
"190","cantar","to sing"
"191","Jodee cantaba cuando era niña.","Jodee used to sing when she was a little girl."
"192","Rodolfo canta como un canario.","Rodolfo sings like a canary."
"193","Ana hubiese cantado el himno nacional pero se enfermó.","Anna would have sung the national anthem but she got sick."
"194","¡Cantemos con alegría!","Let's sing with joy!"
"195","comprar","to buy"
"196","Hemos comprado los libros.","We have bought the books."
"197","Estaban comprando las revistas cuando los vimos.","They were buying the magazines when we saw them."
"198","¿Cuándo vas a comprar el vestido?","When are you going to buy the dress?"
"199","Compraría los boletos pero no estoy segura si vamos a ir.","I would buy the tickets but I am not sure we are going."
"200","alquilar","to rent, to hire"
"201","Insistimos en que alquilen el apartamento.","We insist that they rent the apartment."
"202","Alquilaría esa casa pero es muy cara.","I would rent that house but it is too expensive."
"203","Esa oficina se alquila.","That office is for rent."
"204","Hemos alquilado el carro por tres años.","We have leased the car for three years."
"205","estudiar","to study"
"206","Ellos estudian todos los días.","They study every day."
"207","Estudiábamos hasta muy tarde.","We used to study until very late."
"208","Habríamos estudiado más pero estábamos muy cansados.","We would have studied more but we were very tired."
"209","Los inversionistas estaban estudiando la propuesta.","The investors were studying the offer."
"210","componer","to compose, to fix"
"211","La escritora compuso un poema muy bello.","The writer composed a beautiful poem."
"212","El mecánico ha compuesto el auto.","The mechanic has fixed the car."
"213","Necesitamos que compongan el refrigerador.","We need the refrigerator to be fixed."
"214","¡Compón mi pelo por favor!","Fix my hair please!"
"215","brindar","to offer, to toast, to invite"
"216","Ella les brindó la casa a sus amigos.","She offered the house to her friends to stay."
"217","Los invitados brindan por la felicidad de los novios.","The guests toast to the happiness of the newlyweds."
"218","¡Brindemos por el nuevo ascenso!","Let us toast the new promotion!"
"219","Ellos se brindaron a traer los refrescos.","They offered to bring the sodas."
"220","reconocer","to recognize, to acknowledge, to admit"
"221","No te reconocí cuando te vi.","I didn't recognize you when I saw you."
"222","Gabriel reconoce su mal carácter.","Gabriel acknowledges his bad temper."
"223","Hemos de reconocer que la prueba era fácil.","We have to admit that the test was easy."
"224","Reconozco tu cordura pero también tus locuras.","I acknowledge your good judgment but also your silliness."
"225","enviar","to send"
"226","Te enviaré la carta por correo.","I will send you the letter by mail."
"227","Te habríamos enviado la carta electrónica pero la computadora tenía un virus.","We would have sent you the email but the computer had a virus."
"228","No hubieses enviado todos los libros.","You shouldn't have sent all the books."
"229","reír","to laugh"
"230","Nos reímos mucho con esa película.","We laughed a lot with that movie."
"231","Los payasos ríen para que el público se ría también.","The clowns laugh for the public to laugh too."
"232","Si riéramos más seríamos más felices.","If we were to laugh more we would be happier."
"233","Si Miguel y José estuvieran aquí se habrían reído de tus ocurrencias.","If Miguel and Jose were here they would have laughed at your witty remarks."
"234","Es saludable reírse de uno mismo.","It is healthy to laugh at yourself."
"235","Las tonterías de Bonita hicieron reír a Olga.","The silliness of Bonita made Olga laugh."
"236","Ellas se rieron tanto que comenzaron a llorar.","They laughed so much that they started to cry."
"237","faltar","to be missing, to be lacking"
"238","Me falta una moneda de un centavo para completar mi colección.","I lack one penny to complete my coin collection."
"239","Te faltan tres monedas para completar tu colección.","You lack three coins to complete your coin collection."
"240","A Margarita le faltaban cinco dólares para comprar el regalo.","Margaret was lacking five dollars to buy the gift."
"241","¡¡¿Que le faltaba qué?!!","She was missing what?!!"
"242","ubicar","to locate, to situate, to place"
"243","La iglesia está ubicada en la calle principal del pueblo.","The church is located on the town's main street."
"244","En la biblioteca los libros están ubicados por tema.","In the library the books are placed by subject."
"245","¡Ubique su negocio en un buen centro comercial!","Locate your store in a good mall!"
"246","La farmacia está ubicada en la calle San Juan.","The pharmacy is located on San Juan Street."
"247","caber","to fit into"
"248","Esos libros no caben en la mochila.","Those books don't fit in the backpack."
"249","Si quepo en este vestido iré a la fiesta.","If I fit into this dress I will go to the party."
"250","Todos cupimos en este auto antes ¿por qué no cabemos ahora?","We all fit into this car before why not now?"
"251","El televisor no cupo en el armario.","The television did not fit in the entertainment center."
"252","sollozar","to sob, to cry"
"253","Ellas estaban sollozando por la pérdida de su mascota.","They were sobbing because of the loss of their pet."
"254","Ha sollozado toda la noche porque se fue su novia.","He has been crying all night because his girlfriend left."
"255","Sollocé todo el día cuando supe la mala noticia.","I sobbed all day when I heard the bad news."
"256","Ella habría sollozado más pero se le acabaron las lágrimas.","She would have cried more but she ran out of tears."
"257","crecer","to grow"
"258","El cabello de María crece rápidamente.","Mary's hair grows very fast."
"259","Este pueblo ha crecido mucho desde el año pasado.","This town has grown more since last year."
"260","Las ganancias crecieron un cinco por ciento.","The profits increased by five percent."
"261","Nos gustaría que los árboles de pino crecieran más.","We would like for the pine trees to grow more."
"262","comenzar","to begin, to commence, to start"
"263","¡Comienza una nueva vida ahora!","Start a new life now!"
"264","En nuestro estado han comenzado las lluvias.","In our state the rains have begun."
"265","El nuevo programa comenzará pronto.","The new program will start soon."
"266","No comiencen a pelear de nuevo.","Don't start fighting again!"
"267","romper","to break, to tear"
"268","El niño rompió sus juguetes.","The boy broke his toys."
"269","Él quiere que rompamos el compromiso.","He wants us to break our relationship."
"270","No rompas mi corazón.","Don't break my heart."
"271","Esa nadadora romperá el record.","That swimmer will break the record."
"272","empezar","to begin, to start"
"273","¡Empieza a hacer la tarea!","Start doing your homework!"
"274","Salimos cuando empezaba el día.","We left when day was breaking."
"275","¡Empecé a hacer el reporte a las doce de la noche!","I started doing my report at midnight!"
"276","No empiece la casa por el tejado.","Don't put the cart before the horse."
"277","tratar","to try, to attempt"
"278","Ellos siempre trataban de sacar buenas notas.","They always tried to get good grades."
"279","El hombre siempre ha tratado de volar.","Mankind has always tried to fly."
"280","El atleta trató de saltar una valla de dos metros de altura.","The athlete attempted to jump the hurdle of two meters high."
"281","Los científicos están tratando de salvar los ríos contaminados.","The scientists are trying to save the contaminated rivers."
"282","Trata bien a tus amigos.","Treat your friends well."
"283","¿De qué se trata la reunión?","What is the meeting all about?"
"284","tirar","to throw, to fling, to pitch, to slam (the door)"
"285","El lanzador tiró la pelota a la tercera base.","The pitcher threw the ball to third base."
"286","Cuando era niño tiraba piedras al río.","When I was a little boy I used to throw pebbles to the river."
"287","No tiréis la basura en la calle.","Don't throw the trash on the street."
"288","Se tiró a la piscina sin pensarlo dos veces.","He threw himself in the pool without thinking twice."
"289","Esperamos que no hayas tirado la casa por la ventana con esa fiesta tan grande.","We hope you didn't spend lavishly on that big party."
"290","entender","to understand"
"291","¿Entiendes lo que te digo?","Do you understand what I am telling you?"
"292","Los estudiantes han entendido cómo usar las fórmulas.","The students have understood how to use the formulas."
"293","Las hubiesen entendido más rápidamente pero los ejemplos eran difíciles.","They would have understood them faster but the exercises were difficult."
"294","No hay nadie que no los haya entendido.","There is not one who hasn't understood them."
"295","fijar","to establish, to stick, to set"
"296","El vendedor fijó el precio en cinco dólares.","The salesman set the price at five dollars."
"297","Los trabajadores fijaban los sellos en los sobres.","The workers were sticking the stamps on the envelopes."
"298","Si las refinerías fijaran más bajo el precio del petróleo podríamos viajar a menudo.","If the refineries would set the oil prices lower we could travel more often."
"299","solicitar","to ask for, to request, to apply for"
"300","Ellas están solicitando fondos para el asilo de ancianos.","They are asking for money for the senior citizens home."
"301","Ramón ha solicitado una entrevista con el cónsul.","Raymond is requesting an interview with the consul."
"302","Solicita pronto la visa para viajar al extranjero.","Request your visa to travel abroad soon."
"303","Si solicitaras ese empleo probablemente te lo darían.","If you were to apply for that job they would probably give it to you."
"304","aprovecharse","to take advantage of, to make use of"
"305","Creían que nos habíamos aprovechado de ellos.","They believed we had taken advantage of them."
"306","Ellas están aprovechándose de las gangas de las tiendas.","They are taking advantage of the bargains at the stores."
"307","Aprovecharé su viaje de negocios para tomarme unas vacaciones.","I will take advantage of his business trip to have a vacation."
"308","Aprovechemos el buen clima y vayamos a la playa.","Let's take advantage of the good weather and go to the beach."
"309","Aprovecha gaviota que no hay otra.","Here is your chance!"
"310","prohibir","to forbid, to prohibit"
"311","Les prohíbo a mis hijos decir malas palabras.","I forbid my children from saying bad words."
"312","El gerente prohibió a los empleados usar las computadoras para uso personal.","The manager forbade the employees to use the computers for personal use."
"313","Les habían prohibido hablar durante el examen.","They have been forbidden from talking during the test."
"314","Está prohibido conducir sin licencia.","It is prohibited to drive without a driver's license."
"315","Se prohíbe fumar.","No smoking."
"316","Se prohíbe la entrada.","No admittance."
"317","Prohibido estacionar.","No parking."
"318","satisfacer","to satisfy"
"319","La profesora está satisfecha con el trabajo que hicimos.","The teacher is satisfied with the work we did."
"320","¿He satisfecho tu curiosidad al contarte todo?","Have I satisfied your curiosity by telling you everything?"
"321","Ella satisfizo todos los requisitos que le exigían.","She satisfied all the requirements they asked."
"322","No había nadie que satisficiera sus exigencias.","There wasn't a single person that would satisfy his demands."
"323","Temo que mis calificaciones no satisfagan los deseos de mis padres.","I am afraid that my grades won't satisfy the wishes of my parents."
"324","castigar","to punish, to chastise"
"325","La corte castigó a los criminales.","The court punished the criminals."
"326","¡Castiguemos a los culpables!","Let's punish the guilty ones!"
"327","El padre habría castigado al niño pero la mamá lo defendió.","The father would have punished the boy but his mother defended him."
"328","Si los delincuentes fuesen castigados fuertemente no cometerían tantos delitos.","If the offenders were punished hard they wouldn't commit so many offenses."
"329","adquirir","to acquire, to obtain, to get"
"330","Ella adquiriría ese carro pero cuesta mucho dinero.","She would get that car but it costs too much money."
"331","El pasante ha adquirido mucha experiencia durante el entrenamiento.","The assistant has acquired a lot of experience during the training."
"332","Su negocio adquirió varias computadoras.","Her business acquired several computers."
"333","Si adquiero más experiencia me pagarán mejor.","If I get more experience they will pay me better."
"334","vender","to sell"
"335","Rafael ha vendido su automóvil.","Raphael has sold his car."
"336","Estamos vendiendo la casa.","We are selling the house."
"337","Les vendería las joyas si me dieran más dinero por ellas.","I would sell them the jewelry if they were to give me more money for them."
"338","Se vende ese edificio.","That building is for sale."
"339","adivinar","to guess, to foretell, to read someone's mind"
"340","¡Adivina qué...!","Guess what...!"
"341","La profetiza de la feria adivinó mi futuro.","The fair fortuneteller foretold my future."
"342","Ellos estaban adivinando las respuestas de los problemas de física.","They were guessing the answers to the physics problems."
"343","Si adivinara el futuro sería rica.","If I could foretell the future I would be rich."
"344","fijarse","to take notice, to pay attention, to settle"
"345","El editor se fijaba en el mínimo detalle.","The editor used to take notice of the smallest details."
"346","¡Fíjate en lo que haces!","Pay attention to what you are doing!"
"347","Si me hubiese fijado más en la actriz la habría reconocido.","If I had paid more attention to the actress I would have recognized her."
"348","Ella siempre se fija en todos los detalles.","She always pays attention to all of the details."
"349","figurar","to appear, to figure out, to imagine"
"350","Elena figurará en las revistas de modas.","Helen will appear in the fashion magazines."
"351","Las nubes figuraban aviones.","The clouds took the figures of airplanes."
"352","¡Qué se figuren lo que quieran!","Let them imagine whatever they want!"
"353","Se me figura que él es de España.","I think he is from Spain."
"354","broncearse","to get a tan, to bronze, to tan"
"355","No es bueno para la salud broncearse frecuentemente.","It is not healthy to tan often."
"356","El salvavidas se broncea más que la secretaria.","The lifeguard tans more than the secretary."
"357","Nos hubiésemos bronceado más pero se nubló.","We would have tanned more but it got cloudy."
"358","detener","to stop, to detain, to attest"
"359","Han detenido las inundaciones con la nueva represa.","They have stopped the floods with the new dam."
"360","Lo hubiesen detenido antes pero necesitaban más pruebas.","They would have arrested him but they needed more evidence."
"361","Me detuve por unos minutos y olí las rosas.","I stopped for a while and smelled the roses."
"362","educar","to educate"
"363","Eduquemos a los niños dándoles buenos ejemplos morales.","Let's educate the children by setting good moral examples."
"364","Los maestros educan con mucha dedicación y paciencia.","Teachers educate with dedication and patience."
"365","Es importante educarse en algo que le guste.","It's important to educate yourself in something you enjoy."
"366","Nos hubiésemos educado aquí pero papá fue transferido a Georgia.","We would have been educated here but my father was transferred to Georgia."
"367","agarrar","to grasp, to seize, to grab, to catch"
"368","Hubiesen agarrado al culpable pero llegaron tarde.","They would have caught the guilty one but they got there late."
"369","Los estudiantes no agarraban la idea.","The students did not grasp the idea."
"370","¡No lo agarres!","Don't grab it!"
"371","Te puedes quemar.","It is hot."
"372","El niñito agarró la pelota.","The little boy caught the ball."
"373","cepillarse","to brush oneself"
"374","Cepíllate los dientes tres veces al día.","Brush your teeth three times a day."
"375","El entrenador estaba cepillándole las crines al caballo.","The horse trainer was brushing the horse's mane."
"376","Ellos se cepillaban los dientes cuando el teléfono repicó.","They were brushing their teeth when the telephone rang."
"377","Ella se había cepillado el pelo cuando el novio llegó.","She had brushed her hair when her boyfriend arrived."
"378","La niñera cepillaba el pelo de la niña cuando los padres llegaron.","The baby sitter was brushing the girl's hair when her parents came home."
"379","repasar","to revise, to review (lesson), to go over"
"380","¡Repasen el vocabulario para mañana!","Review the vocabulary for tomorrow!"
"381","La profesora repasó las lecciones 4 y 5 hoy.","The teacher reviewed chapters 4 &amp;amp; 5 today."
"382","Ella nos dijo que repasáramos el examen antes de entregárselo.","She told us to go over the test before handing it in to her."
"383","Antes de salir repasé mi presentación.","Before I left I went over my presentation."
"384","pagar","to pay"
"385","Ya pagué las cuentas.","I already paid the bills."
"386","Mamá me aconseja que pague los impuestos a tiempo.","My mother advises me to pay taxes on time."
"387","Hemos pagado el auto en cómodas cuotas mensuales.","We paid for the car in easy monthly installments."
"388","Paguen sus deudas.","Pay your debts."
"389","Ella pagó los platos rotos por su hermano.","She paid the consequences for her brother's actions."
"390","padecer","to suffer, to endure, to suffer from"
"391","Muchos niños padecen de hambre en el mundo.","Many children suffer from hunger in the world."
"392","Sergio ha padecido de insomnio por mucho tiempo.","Sergio has suffered from insomnia for a long time."
"393","No puedo creer que Pablo haya padecido tantos insultos.","I cannot believe Paul has endured so many insults."
"394","Ella padecía de dolores de cabeza.","She used to suffer from headaches."
"395","molestar","to annoy, to bother, to pester"
"396","¡No molestes a tu hermano!","Don't bother your brother!"
"397","El profesor les dijo que no molestaran la clase.","The teacher told them not to bother the class."
"398","Espero que no los hayamos molestado.","I hope we have not bothered them."
"399","Me molesta cuando llamas a las once de la noche.","It bothers me when you call at eleven o'clock at night."
"400","¡No te molestes!","Don't worry yourself!"
"401","sustituír","to substitute, to replace"
"402","Manuel sustituyó al profesor Martínez por muchos meses.","Manuel substituted for professor Martinez for several months."
"403","Están sustituyendo la leche entera por la leche sin grasa en las escuelas.","They are replacing whole milk with skim milk in the schools."
"404","El parlamento ha sustituido al director por otro con más experiencía.","The parliament has replaced the director with one who has more experience."
"405","Es necesario que ellos sustituyan ese carro por uno más nuevo.","It is necessary that they replace that car with a newer one."
"406","correr","to run, to flow"
"407","Si tú corrieses yo correría también.","If you would run I would run also."
"408","Habría corrido en el maratón pero me dolían los pies.","I would have run in the marathon but my feet were hurting."
"409","Ellas estuvieron corriendo hasta las cinco de la tarde.","They were running until five o'clock in the afternoon."
"410","Agua que no has de beber déjala correr.","Don't take it if you are not going to use it."
"411","significar","to mean, to signify, to be important"
"412","""¿Qué significa """"tener éxito"""" en inglés?""","""What does """"tener éxito"""" mean in English?"""
"413","La bandera verde significa el comienzo de la carrera.","The green flag signifies the beginning of the race."
